time,MEMORY,best_of_gen,average,TRAINED,gen
1753087571.733235,1017604.0,-1300,-2262.0,False,1
1753087571.9576428,1029252.0,-1000,-2119.0,False,2
1753087572.179016,1041156.0,-1200,-2059.0,False,3
1753087572.4363856,1052164.0,-1200,-2087.0,False,4
1753087572.6856694,1063428.0,-1100,-2015.0,False,5
1753087572.9273355,1075460.0,-1000,-1952.0,False,6
1753087573.1715071,1086980.0,-700,-1748.0,False,7
1753087573.4347947,1098500.0,-900,-1606.0,False,8
1753087573.7061315,1109508.0,-900,-1585.0,False,9
1753087573.9569519,1120772.0,-800,-1550.0,False,10
1753087574.2055063,1132036.0,-500,-1433.0,False,11
1753087574.5934103,1145092.0,-800,-1363.0,False,12
1753087574.8353481,1156996.0,-500,-1346.0,False,13
1753087575.0842483,1168260.0,-700,-1316.0,False,14
1753087575.3332174,1179524.0,-700,-1310.0,False,15
1753087575.5770543,1190404.0,-600,-1195.0,False,16
1753087575.8285816,1201412.0,-600,-1220.0,False,17
1753087576.0728848,1212548.0,-400,-1200.0,False,18
1753087576.2973058,1223940.0,-400,-1124.0,False,19
1753087576.5202665,1235204.0,-300,-974.0,False,20
1753087576.742906,1246212.0,-300,-974.0,False,21
1753087576.9688995,1257604.0,-300,-918.0,False,22
1753087577.1943161,1271172.0,-200,-888.0,False,23
1753087577.4156673,1283972.0,-100,-841.0,False,24
1753087577.6396244,1296132.0,-100,-848.0,False,25
1753087577.862801,1307396.0,-100,-803.0,False,26
1753087578.0810483,1318532.0,-100,-745.0,False,27
1753087578.3261712,1329796.0,-100,-781.0,False,28
1753087578.5685446,1341060.0,-100,-759.0,False,29
1753087578.8102026,1352324.0,-200,-674.0,False,30
1753087579.056087,1363332.0,-200,-734.0,False,31
1753087579.3004417,1374468.0,-100,-665.0,False,32
1753087579.5438666,1385476.0,0.36996387387387386,-645.9963003612612,False,33
1753087579.8880382,1396740.0,0.36996387387387386,-567.9963003612612,False,34
1753087580.1371174,1408004.0,0.3787603302752293,-547.9962123966973,False,35
1753087580.3989735,1419140.0,-100,-585.0,False,36
1753087580.6445012,1430276.0,-100,-525.0,False,37
1753087580.8925853,1441540.0,0.37107823853211014,-484.9962892176147,False,38
1753087581.1348069,1452420.0,0.38111102803738317,-487.985234066073,False,39
1753087581.3856757,1463812.0,0.38667822429906545,-479.9704183406951,False,40
1753087581.634954,1474820.0,0.3953985523809524,-478.92495964392134,False,41
1753087581.8850687,1486212.0,0.3997305769230769,-367.8828191044775,False,42
1753087582.126595,1497220.0,0.41164135294117654,-308.8478224740183,False,43
1753087582.371028,1508100.0,0.4100864466019418,-346.85289884073165,False,44
1753087582.622316,1519620.0,0.42454702,-401.86547687271997,False,45
1753087582.884949,1535336.0,0.42454702,-441.88696577909985,False,46
1753087583.1566563,1548648.0,0.42454702,-375.83795522596307,False,47
1753087583.4092815,1561832.0,0.43715502040816334,-334.8189286184996,False,48
1753087583.6618042,1574248.0,0.4400445102040817,-340.81210868037203,False,49
1753087583.9108782,1585640.0,0.44087095918367347,-337.8063384601762,False,50
1753087584.1635807,1597032.0,0.4500963917525774,-395.82443628725395,False,51
1753087597.9071813,1763124.0,0.45447117525773195,-374.82162512991823,True,52
1753087598.145493,1763124.0,0.46242524210526315,-323.7881888100986,False,53
1753087598.3852882,1763252.0,0.46978514893617024,-393.8073073485614,False,54
1753087598.6265082,1763380.0,0.47047340425531914,-307.7519067461947,False,55
1753087598.8661256,1763508.0,0.4723854680851064,-403.8264495923471,False,56
1753087599.1105752,1763508.0,0.48150449462365585,-379.79279650727557,False,57
1753087599.3513322,1763636.0,0.47894453763440864,-357.7726668450146,False,58
1753087599.5867376,1763636.0,0.48071897826086957,-366.7842920996377,False,59
1753087599.833757,1763764.0,0.4840532688172043,-408.8109463193738,False,60
1753087600.0844343,1763764.0,0.4888003695652174,-454.8192175947539,False,61
1753087600.4212554,1763892.0,0.4944622197802197,-379.7947341866106,False,62
1753087600.6611602,1763892.0,0.4946023296703296,-349.77954358943316,False,63
1753087600.907449,1764020.0,0.49664898901098903,-402.7909203331325,False,64
1753087601.1418688,1764020.0,0.49664898901098903,-302.73552049139766,False,65
1753087601.378674,1764148.0,0.49754345054945054,-365.75362993201395,False,66
1753087601.6150434,1764788.0,0.4976835604395604,-337.73783528976435,False,67
1753087601.8606284,1765684.0,0.4976835604395604,-414.7767986197491,False,68
1753087602.1038878,1766324.0,0.4976835604395604,-414.77723028443734,False,69
1753087602.347175,1767092.0,0.4976835604395604,-337.7428532072796,False,70
1753087602.5908759,1767604.0,0.4976835604395604,-384.791055034066,False,71
1753087602.8341897,1768244.0,0.4976835604395604,-376.8059357547253,False,72
1753087603.078144,1768884.0,0.4976835604395604,-406.81107868787905,False,73
1753087603.3206275,1769652.0,0.4976835604395604,-439.80656703838815,False,74
1753087603.5677986,1770292.0,0.4976835604395604,-394.78673657658635,False,75
1753087603.8114307,1770932.0,0.49937072527472526,-426.786598938261,False,76
1753087604.0499523,1771572.0,0.49937072527472526,-364.7859868010655,False,77
1753087604.2907717,1772212.0,0.49937072527472526,-346.7513832158127,False,78
1753087604.5256212,1772724.0,0.49937072527472526,-323.74085024395606,False,79
1753087604.765864,1773364.0,0.49937072527472526,-386.77543544703303,False,80
1753087605.0070746,1774004.0,0.49937072527472526,-432.7804895398867,False,81
1753087605.248506,1774516.0,0.5001982637362637,-378.7654408653977,False,82
1753087605.4874227,1775028.0,0.5001982637362637,-284.6959704332531,False,83
1753087605.8323488,1775668.0,0.5001982637362637,-370.77523352131874,False,84
1753087606.0842469,1776180.0,0.5001982637362637,-426.7951586980221,False,85
1753087606.326362,1776820.0,0.5089008,-319.75508823814425,False,86
1753087606.5619903,1777332.0,0.5089007999999999,-385.7598922865055,False,87
1753087606.797292,1777844.0,0.5097375333333334,-335.71987510386884,False,88
1753087607.029894,1778356.0,0.5016611208791208,-329.73992454203056,False,89
1753087607.2694476,1779252.0,0.5016611208791208,-391.77484258923073,False,90
1753087607.5043826,1779764.0,0.5016611208791208,-369.7645628325274,False,91
1753087607.7438169,1780404.0,0.5016611208791208,-430.78447471626373,False,92
1753087607.9848452,1780916.0,0.5016611208791208,-395.7898813233503,False,93
1753087608.248688,1781428.0,0.5016611208791208,-289.72987819124546,False,94
1753087608.494353,1782068.0,0.5016611208791208,-441.8043521628572,False,95
1753087608.7330933,1782708.0,0.5016611208791208,-423.7747576120887,False,96
1753087608.9668689,1783348.0,0.5016611208791208,-361.75418605076925,False,97
1753087609.2285957,1783732.0,0.5016611208791208,-398.75418605076925,False,98
1753087609.4799085,1784372.0,0.5016611208791208,-440.7943189404396,False,99
1753087609.7356575,1784884.0,0.5016611208791208,-393.7943189404396,False,100
1753087610.0434535,1785652.0,0.5016611208791208,-435.7994505413355,False,101
1753087610.2961195,1786292.0,0.5020933186813187,-384.8046983768368,False,102
1753087610.5461054,1786804.0,0.5020933186813187,-350.77926478483516,False,103
1753087624.2019417,1791640.0,0.5020933186813187,-317.7344551719236,True,104
1753087624.427694,1791640.0,0.5020933186813187,-372.75415579692316,False,105
1753087624.6554701,1792280.0,0.5020933186813187,-441.79470732217743,False,106
1753087624.8771222,1792280.0,0.5020933186813187,-380.75452342481475,False,107
1753087625.0972755,1792280.0,0.5020933186813187,-364.73934529339965,False,108
1753087625.379845,1792280.0,0.5020933186813187,-494.8200403148481,False,109
1753087625.6219645,1792280.0,0.5020933186813187,-373.7740623285714,False,110
1753087625.868293,1792280.0,0.5020933186813187,-517.8043087556753,False,111
1753087626.1176288,1792408.0,0.5020933186813187,-363.77467444644515,False,112
1753087626.4572697,1792408.0,0.5020933186813187,-296.7197891073019,False,113
1753087626.7016659,1792536.0,0.5020933186813187,-427.7891208061538,False,114
1753087626.9500005,1792536.0,0.5020933186813187,-353.7491483334205,False,115
1753087627.1963286,1792664.0,0.5020933186813187,-413.77907893978016,False,116
1753087627.4366965,1792664.0,0.5020933186813187,-322.7490189290635,False,117
1753087627.6782868,1792792.0,0.5020933186813187,-424.784099872967,False,118
1753087627.9231858,1792792.0,0.5020933186813187,-456.7891810249928,False,119
1753087628.1620889,1792920.0,0.5020933186813187,-405.7640161402198,False,120
1753087628.4116645,1792920.0,0.5020933186813187,-491.84435107120873,False,121
1753087628.6523356,1793048.0,0.5020933186813187,-327.79004555436717,False,122
