time,PKG,GPU
1746545462.0490,0,62789
1746545462.2940,48023,59660
1746545462.5460,37001,59660
1746545462.7960,37838,59568
1746545463.0470,37326,59568
1746545463.2960,36687,59763
1746545463.5470,35280,59763
1746545463.8010,35999,56258
1746545464.0470,38141,56374
1746545464.2970,36429,56254
1746545464.5450,35311,57252
1746545464.7970,36228,62122
1746545465.0450,35150,61512
1746545465.2950,35088,61999
1746545465.5450,34956,61707
1746545465.7960,35320,61804
1746545466.0460,35457,61317
1746545466.2970,35431,61420
1746545466.5460,35527,60542
1746545466.7960,34982,62876
1746545467.0470,35853,63066
1746545467.2960,35637,63364
1746545467.5470,35680,62292
1746545467.7980,34966,62389
1746545468.0490,34640,63071
1746545468.2960,34398,63266
1746545468.5490,35105,61804
1746545468.7970,34944,61902
1746545469.0500,34914,61804
1746545469.2970,34920,62487
1746545469.5470,35047,62584
1746545469.7970,35276,62097
1746545470.0530,34756,62682
1746545470.2980,35040,61902
1746545470.5470,34450,62292
1746545470.7970,35057,62682
1746545471.0500,35347,62004
1746545471.3000,34307,56741
1746545471.5500,35753,66650
1746545471.8000,36449,67917
1746545472.0500,36358,66959
1746545472.3000,36539,66840
1746545472.5510,36296,70438
1746545472.8010,36603,71120
1746545473.0510,36528,69344
1746545473.3010,36474,69178
1746545473.5510,36528,67224
1746545473.8020,36280,66093
1746545474.0510,36615,67034
1746545474.3030,36545,67819
1746545474.5520,36492,68323
1746545474.8050,36509,66288
1746545475.0520,36459,69504
1746545475.3020,36631,67808
1746545475.5520,36488,67262
1746545475.8020,36458,69183
1746545476.0520,36195,72192
1746545476.3020,36295,68014
1746545476.5530,36594,67619
1746545476.8030,36588,66444
1746545477.0530,36605,67521
1746545477.3030,36271,67321
1746545477.5530,36553,67165
1746545477.8030,34109,56639
1746545478.0550,34602,62876
1746545478.3030,34709,62974
1746545478.5510,34280,62779
1746545478.8020,35102,62974
1746545479.0530,34921,61342
1746545479.3020,34602,58203
1746545479.5540,34796,56964
1746545479.8040,32383,56964
1746545480.0540,34184,63851
1746545480.3050,32240,61804
1746545480.5540,34119,62389
1746545480.8030,34988,62389
1746545481.0520,31787,61317
1746545481.3030,33814,63071
1746545481.5530,34548,62584
1746545481.8040,34768,62097
1746545482.0530,34712,62004
1746545482.3030,33706,61999
1746545482.5540,33327,62876
1746545482.8030,31384,62297
1746545483.0550,33731,62779
1746545483.3040,34821,62097
1746545483.5540,34472,61902
1746545483.8040,34242,58983
1746545484.0560,34805,57544
1746545484.3040,34718,57252
1746545484.5570,34545,67327
1746545484.8070,34812,70415
1746545485.0570,36375,67332
1746545485.3070,36522,67945
1746545485.5570,36493,65573
1746545485.8070,36672,67750
1746545486.0570,36456,68301
1746545486.3070,36345,67457
1746545486.5580,36502,66862
1746545486.8080,36501,66553
1746545487.0580,36611,66840
1746545487.3080,36600,70530
1746545487.5580,36316,71521
1746545487.8080,36668,68295
1746545488.0580,36577,67814
1746545488.3080,36649,67327
1746545488.5580,36611,68782
1746545488.8090,36502,68106
1746545489.0590,36695,66645
1746545489.3100,36638,68393
1746545489.5590,36631,67137
1746545489.8110,36563,70450
1746545490.0590,36373,68891
1746545490.3120,36622,68496
1746545490.5600,36578,68009
1746545490.8130,34031,56764
1746545491.0590,34613,62876
1746545491.3100,34486,63071
1746545491.5600,34313,62784
1746545491.8100,34406,62682
1746545492.0600,34597,62779
1746545492.3100,34418,63461
1746545492.5590,32961,56667
1746545492.8080,34431,62389
1746545493.0590,32703,61537
1746545493.3090,34693,63071
1746545493.5590,33829,64046
1746545493.8090,32405,62974
1746545494.0590,32409,62389
