time,PKG,GPU
1749319329.3700,24384,65605
1749319329.6180,44800,66049
1749319329.8670,36931,66049
1749319330.1190,35513,66244
1749319330.3680,37232,66250
1749319330.6200,36662,66352
1749319330.8730,35576,66250
1749319331.1180,35340,63066
1749319331.3680,38473,62974
1749319331.6180,34220,62876
1749319331.8670,35384,63359
1749319332.1190,36616,69756
1749319332.3690,34721,69464
1749319332.6190,34362,69688
1749319332.8690,34689,69567
1749319333.1190,34851,69854
1749319333.3690,35050,69464
1749319333.6190,35065,69854
1749319333.8690,34348,64533
1749319334.1200,33503,71412
1749319334.3710,34138,70925
1749319334.6200,33814,72192
1749319334.8720,34561,69768
1749319335.1200,34532,70536
1749319335.3740,34270,70049
1749319335.6200,33798,70438
1749319335.8740,34280,68908
1749319336.1210,34640,69951
1749319336.3710,34062,70925
1749319336.6210,34896,69659
1749319336.8710,33769,71401
1749319337.1210,34615,70243
1749319337.3710,34464,71120
1749319337.6210,34285,70370
1749319337.8710,34569,69659
1749319338.1220,34345,70341
1749319338.3720,34696,70467
1749319338.6220,34504,71893
1749319338.8720,34720,76179
1749319339.1220,36912,88357
1749319339.3720,36901,97803
1749319339.6270,36806,97511
1749319339.8720,36846,97000
1749319340.1230,36858,97000
1749319340.3730,37357,95809
1749319340.6230,37148,94973
1749319340.8730,37421,92241
1749319341.1230,37191,92376
1749319341.3730,37303,94989
1749319341.6230,37279,96028
1749319341.8730,37201,95370
1749319342.1240,36840,93117
1749319342.3740,37224,96806
1749319342.6240,37113,95930
1749319342.8740,36925,100113
1749319343.1240,36975,99805
1749319343.3750,37012,95175
1749319343.6240,37095,92743
1749319343.8770,37113,93798
1749319344.1250,37191,93214
1749319344.3750,37149,95347
1749319344.6250,37100,94008
1749319344.8750,37072,94300
1749319345.1250,33795,77530
1749319345.3750,34334,87232
1749319345.6240,34724,79283
1749319345.8750,33020,79088
1749319346.1240,34211,78224
1749319346.3750,33701,82093
1749319346.6260,35284,77627
1749319346.8760,33119,86843
1749319347.1270,33979,89457
1749319347.3760,34549,81885
1749319347.6280,30631,87038
1749319347.8770,34389,81724
1749319348.1290,34292,79387
1749319348.3750,33093,79387
1749319348.6260,32548,79387
1749319348.8760,33178,79088
1749319349.1260,31272,79354
1749319349.3770,31196,80263
1749319349.6250,34430,78309
1749319349.8750,32637,78419
1749319350.1250,31476,78711
1749319350.3750,34060,78698
1749319350.6280,29882,81334
1749319350.8770,34541,78614
1749319351.1260,33948,78237
1749319351.3800,29543,79770
1749319351.6280,34276,78997
1749319351.8780,34714,96304
1749319352.1280,36403,98030
1749319352.3780,36599,95638
1749319352.6310,36854,94868
1749319352.8790,36810,93544
1749319353.1290,36773,95588
1749319353.3820,36450,96708
1749319353.6290,36880,95257
1749319353.8790,36688,92728
1749319354.1310,36506,91523
1749319354.3790,36655,93701
1749319354.6300,36562,93685
1749319354.8820,36882,96756
1749319355.1300,36865,93724
1749319355.3800,37156,99489
1749319355.6320,37081,96619
1749319355.9120,37155,96724
1749319356.1300,37219,95646
1749319356.3800,37086,92735
1749319356.6310,37142,93887
1749319356.8810,37242,93903
1749319357.1310,37121,95152
1749319357.3820,37157,95394
1749319357.6310,37068,96028
1749319357.8830,37367,94740
1749319358.1310,34495,77919
1749319358.3840,34926,88985
1749319358.6320,34558,88678
1749319358.8850,34218,89150
1749319359.1320,35193,90430
1749319359.3860,33432,88401
1749319359.6320,34776,88678
1749319359.8820,34774,87997
1749319360.1330,33059,87524
1749319360.3820,32182,87524
1749319360.6330,34202,90026
1749319360.8830,35127,89763
1749319361.1330,32652,88303
1749319361.3830,32937,89457
1749319361.6330,35246,89359
1749319361.8830,34939,87802
1749319362.1330,34630,87719
1749319362.3840,35033,80945
1749319362.6340,34667,78517
1749319362.8840,34116,78030
1749319363.1340,34348,83540
1749319363.3840,31237,64337
1749319363.6340,31623,59373
1749319363.8830,34382,59080
1749319364.1360,34652,63851
1749319364.3840,34541,65795
1749319364.6360,35257,58778
1749319364.8900,34600,80159
1749319365.1350,37178,90827
1749319365.3850,37076,91366
1749319365.6350,36900,90879
1749319365.8930,37219,95047
1749319366.1360,37159,96464
1749319366.3860,37055,95841
1749319366.6360,37108,94673
1749319366.8870,37061,93529
1749319367.1360,37268,93214
1749319367.3880,37224,92354
1749319367.6360,37271,94642
1749319367.8900,37299,94307
1749319368.1360,37365,95444
1749319368.3910,37126,94712
