time,PKG,GPU
1749330228.2800,0,87135
1749330228.5260,46508,81496
1749330228.7770,37005,81690
1749330229.0310,35145,81496
1749330229.2770,37226,81593
1749330229.5350,36698,81496
1749330229.7780,35250,81301
1749330230.0280,35176,77725
1749330230.2780,38073,77725
1749330230.5280,34349,77627
1749330230.7760,34202,77627
1749330231.0280,35735,87997
1749330231.2780,34606,88678
1749330231.5290,34858,88970
1749330231.7780,34932,88191
1749330232.0290,34787,88108
1749330232.2790,34050,87802
1749330232.5290,34854,83053
1749330232.7800,34228,78796
1749330233.0290,33923,89179
1749330233.2810,34906,88678
1749330233.5290,34467,90235
1749330233.7820,35120,87975
1749330234.0290,34215,89104
1749330234.2830,34261,86162
1749330234.5300,34279,83436
1749330234.7800,34856,79387
1749330235.0290,34452,78705
1749330235.2800,34034,87358
1749330235.5300,34049,89053
1749330235.7800,34655,65015
1749330236.0300,34182,65990
1749330236.2800,34033,64528
1749330236.5310,33188,63748
1749330236.7810,31359,65123
1749330237.0310,34464,64431
1749330237.2810,34691,58880
1749330237.5310,35921,69367
1749330237.7860,36872,72673
1749330238.0330,37066,86739
1749330238.2820,37032,90213
1749330238.5340,37018,97973
1749330238.7820,37276,94529
1749330239.0350,37197,106525
1749330239.2820,37110,99432
1749330239.5320,37243,94763
1749330239.7830,36938,93985
1749330240.0320,37321,93985
1749330240.2830,37172,98070
1749330240.5330,37325,96125
1749330240.7830,37231,94276
1749330241.0320,37490,98654
1749330241.2830,37325,99059
1749330241.5330,37363,94973
1749330241.7830,37263,93693
1749330242.0340,37231,92945
1749330242.2840,36998,93409
1749330242.5340,37371,94868
1749330242.7840,37120,94771
1749330243.0340,37283,103484
1749330243.2840,37242,96222
1749330243.5340,36021,79380
1749330243.7850,34080,77822
1749330244.0340,33719,86169
1749330244.2860,31566,85411
1749330244.5350,34043,89666
1749330244.7870,34124,88678
1749330245.0350,34135,89554
1749330245.2870,34091,77750
1749330245.5350,33538,85898
1749330245.7880,34202,89846
1749330246.0350,32961,86093
1749330246.2890,31694,88483
1749330246.5360,33806,89179
1749330246.7860,32757,86071
1749330247.0360,32241,90333
1749330247.2860,34366,88289
1749330247.5360,34419,89749
1749330247.7860,34245,88761
1749330248.0370,34474,88873
1749330248.2860,31471,88137
1749330248.5370,33737,90138
1749330248.7870,34275,83832
1749330249.0370,33462,78796
1749330249.2870,33657,84416
1749330249.5370,34048,89666
1749330249.7880,34074,88970
1749330250.0380,34544,77822
1749330250.2880,36227,93992
1749330250.5380,36769,101945
1749330250.7880,37010,95518
1749330251.0380,37003,93506
1749330251.2880,36771,95444
1749330251.5390,37015,96319
1749330251.7880,36965,95241
1749330252.0400,37192,94113
1749330252.2900,37143,94187
1749330252.5420,37359,97292
1749330252.7900,37327,95016
1749330253.0430,36839,96976
1749330253.2890,37126,93311
1749330253.5390,37159,95047
1749330253.7890,37098,94673
1749330254.0390,37070,94989
1749330254.2900,37224,97779
1749330254.5400,36858,96627
1749330254.7900,37147,97195
1749330255.0400,37236,95549
1749330255.2900,36899,96708
1749330255.5400,37169,95405
1749330255.7900,37049,96417
1749330256.0400,37155,96911
1749330256.2910,34431,78698
1749330256.5410,32860,89420
1749330256.7910,34082,90041
1749330257.0400,34025,91890
1749330257.2920,34502,90220
1749330257.5410,33075,89651
1749330257.7930,34225,90527
1749330258.0410,34431,89622
1749330258.2940,35091,90235
1749330258.5420,33407,88775
1749330258.7910,34071,90430
1749330259.0420,34388,90512
1749330259.2920,31386,89067
1749330259.5420,34158,82782
1749330259.7920,34137,78900
1749330260.0420,33904,84986
1749330260.2930,34549,88581
1749330260.5430,33114,87524
