time,PKG,GPU
1749541760.9230,16125,8132
1749541761.1670,43068,8029
1749541761.4190,36597,8422
1749541761.6680,35175,8225
1749541761.9190,36954,8227
1749541762.1690,36277,7934
1749541762.4180,30941,8521
1749541762.6690,34852,8031
1749541762.9190,35145,7835
1749541763.1690,35526,8324
1749541763.4170,34779,8423
1749541763.6670,35210,7834
1749541763.9200,33943,8031
1749541764.1700,33232,8225
1749541764.4180,34018,8422
1749541764.6700,35257,8225
1749541764.9180,34913,8129
1749541765.1680,34764,8227
1749541765.4190,33679,8811
1749541765.6680,34220,8035
1749541765.9180,34259,8521
1749541766.1700,35052,8128
1749541766.4220,35621,8811
1749541766.6710,35238,8128
1749541766.9210,34156,8324
1749541767.1710,34142,7934
1749541767.4210,35081,7931
1749541767.6710,34737,8225
1749541767.9210,35030,8324
1749541768.1710,35446,8128
1749541768.4220,34879,8128
1749541768.6720,34673,8325
1749541768.9190,35457,8422
1749541769.1720,34591,8129
1749541769.4220,34527,8225
1749541769.6700,34840,8032
1749541769.9220,34535,8519
1749541770.1720,34973,7933
1749541770.4220,35325,8031
1749541770.6710,35295,8225
1749541770.9220,35343,8714
1749541771.1720,35330,8128
1749541771.4210,35271,8324
1749541771.6730,35800,7931
1749541771.9220,35170,8324
1749541772.1730,35234,8225
1749541772.4230,35829,8227
1749541772.6730,34943,8228
1749541772.9210,34984,8716
1749541773.1740,35854,8225
1749541773.4240,35484,8324
1749541773.6730,35284,8031
1749541773.9240,35171,8128
1749541774.1720,35602,8029
1749541774.4240,35988,8225
1749541774.6740,35374,7934
1749541774.9240,35249,7931
1749541775.1740,35748,8029
1749541775.4250,35207,8422
1749541775.6750,35482,8323
1749541775.9250,35989,8128
1749541776.1740,34692,7835
1749541776.4250,36077,8426
1749541776.6740,34894,8228
1749541776.9250,35158,8031
1749541777.1750,35738,8128
1749541777.4260,34794,7933
1749541777.6750,35333,8029
1749541777.9240,34984,8225
1749541778.1760,34907,8130
1749541778.4260,35330,8422
1749541778.6760,35962,8128
1749541778.9260,35210,7931
1749541779.1740,35329,8029
1749541779.4260,35593,8227
1749541779.6760,34826,8128
1749541779.9270,34691,8032
1749541780.1770,37137,8029
1749541780.4270,35225,15161
1749541780.6790,35463,15363
1749541780.9270,35309,15264
1749541781.1810,35195,15166
1749541781.4260,35614,8128
1749541781.6760,34790,8421
1749541781.9280,35400,8029
1749541782.1780,35433,8132
1749541782.4280,35484,8225
1749541782.6780,35662,8128
1749541782.9260,35523,7834
1749541783.1780,35842,8029
1749541783.4280,35220,8125
1749541783.6770,35592,8128
1749541783.9260,35322,8131
1749541784.1760,33462,8125
1749541784.4280,35715,8225
1749541784.6790,35318,8421
1749541784.9290,35037,7934
1749541785.1790,35514,8329
1749541785.4290,35927,8128
1749541785.6790,35216,8324
1749541785.9290,35070,8031
1749541786.1780,35735,8323
1749541786.4270,35566,7934
1749541786.6790,33622,8324
1749541786.9300,35697,8225
1749541787.1800,35017,8029
1749541787.4300,35397,8423
1749541787.6780,35503,8324
1749541787.9300,35449,8128
1749541788.1800,35351,8225
1749541788.4300,36007,8225
1749541788.6800,35018,8031
1749541788.9300,34946,8032
1749541789.1810,35923,7934
1749541789.4310,35071,8225
1749541789.6810,35449,8422
1749541789.9310,35839,8128
1749541790.1810,34997,8029
1749541790.4310,35481,8128
1749541790.6810,36000,8029
1749541790.9310,34669,7931
1749541791.1810,35308,8225
1749541791.4320,35867,8225
1749541791.6810,33716,8225
1749541791.9320,35019,8029
1749541792.1820,35902,8029
1749541792.4320,35143,8422
1749541792.6820,35002,8323
1749541792.9320,35791,7933
1749541793.1820,34455,7933
1749541793.4330,35616,8325
1749541793.6800,35657,8227
1749541793.9330,34630,8031
1749541794.1830,35470,8225
1749541794.4330,34710,8128
1749541794.6840,35207,8617
1749541794.9320,35696,8128
1749541795.1810,34915,7934
1749541795.4310,34164,7934
1749541795.6830,35433,8421
1749541795.9330,34567,8225
1749541796.1840,34898,7934
1749541796.4340,35745,8031
1749541796.6840,35037,8324
1749541796.9340,35259,8326
1749541797.1840,35121,8128
1749541797.4320,35325,8128
1749541797.6820,33873,8031
1749541797.9320,34327,8129
1749541798.1840,33225,8129
1749541798.4350,35436,8128
1749541798.6840,35022,8323
1749541798.9350,35458,7934
1749541799.1850,35246,8128
1749541799.4350,35007,8029
1749541799.6850,35003,7933
