gen,time,PKG,GPU,seconds_passed,best_of_gen,average,best_of_gen_std
1.0,1970-01-01 00:00:01.749540776,43.835774,0.6382809999999999,0.0,0.0,0.002,0.0
2.0,1970-01-01 00:00:01.749540776,33.45008,0.6367699999999998,2e-10,0.0,0.0036000000000000003,0.0
3.0,1970-01-01 00:00:01.749540776,37.826994,0.6457359999999999,6.000000000000001e-10,0.04,0.0056,0.08944271909999159
4.0,1970-01-01 00:00:01.749540776,37.826994,0.6457359999999999,6.000000000000001e-10,0.0,0.00799999999999998,0.0
5.0,1970-01-01 00:00:01.749540777,46.887422,0.990918,1e-09,0.12000000000000002,0.0064,0.1788854381999832
6.0,1970-01-01 00:00:01.749540777,46.887422,0.990918,1e-09,0.04,0.0092,0.0894427190999916
7.0,1970-01-01 00:00:01.749540777,63.95681199999999,1.0570529999999998,1.4e-09,0.12000000000000002,0.0116,0.1788854381999832
8.0,1970-01-01 00:00:01.749540777,61.76552999999999,1.0306449999999998,1.4e-09,0.0,0.01,0.0
9.0,1970-01-01 00:00:01.749540777,74.44190599999999,1.053664,1.6e-09,0.0,0.01239999999999998,0.0
10.0,1970-01-01 00:00:01.749540778,91.78144599999999,1.5007989999999998,2e-09,0.08,0.02,0.1788854381999832
11.0,1970-01-01 00:00:01.749540778,84.8911,1.485175,2.2000000000000003e-09,0.04,0.025999999999999978,0.0894427190999916
12.0,1970-01-01 00:00:01.749540778,90.50362999999999,1.5318199999999997,2.4e-09,0.12000000000000002,0.029200000000000004,0.1788854381999832
13.0,1970-01-01 00:00:01.749540778,95.18414399999999,1.4967859999999997,2.6e-09,0.12000000000000002,0.0304,0.1788854381999832
14.0,1970-01-01 00:00:01.749540779,105.76298799999999,1.8011969999999997,2.9999999999999996e-09,0.27999999999999997,0.046799999999999994,0.22803508501982758
15.0,1970-01-01 00:00:01.749540779,109.16413599999998,1.8359839999999998,3.2e-09,0.16,0.056399999999999985,0.16733200530681513
16.0,1970-01-01 00:00:01.749540779,116.93954799999999,1.9969869999999996,3.4e-09,0.27999999999999997,0.07599999999999998,0.2280350850198276
17.0,1970-01-01 00:00:01.749540779,109.81970199999998,1.6441629999999996,3.4e-09,0.08,0.07519999999999998,0.1788854381999832
18.0,1970-01-01 00:00:01.749540780,141.244984,2.4942459999999995,4.2e-09,0.24,0.09519999999999997,0.260768096208106
19.0,1970-01-01 00:00:01.749540780,138.75095199999998,2.4580379999999997,4.4000000000000005e-09,0.24000000000000005,0.10719999999999999,0.16733200530681513
20.0,1970-01-01 00:00:01.749540780,143.31271599999997,2.388654,4.4000000000000005e-09,0.12,0.12119999999999995,0.2683281572999748
21.0,1970-01-01 00:00:01.749540780,146.61746399999998,2.3841409999999996,4.8e-09,0.08,0.1432,0.10954451150103323
22.0,1970-01-01 00:00:01.749540781,156.853858,2.6399019999999997,5.4e-09,0.08,0.15239999999999992,0.10954451150103323
23.0,1970-01-01 00:00:01.749540781,155.684192,2.572923,5.4e-09,0.27999999999999997,0.18039999999999992,0.30331501776206204
24.0,1970-01-01 00:00:01.749540781,182.27691,2.9009899999999993,5.800000000000001e-09,0.24,0.1648,0.21908902300206642
25.0,1970-01-01 00:00:01.749540782,178.59621199999998,2.6856029999999995,6.2e-09,0.24,0.19239999999999996,0.260768096208106
26.0,1970-01-01 00:00:01.749540782,182.21996,2.6809899999999995,6.4e-09,0.16,0.19879999999999995,0.16733200530681513
27.0,1970-01-01 00:00:01.749540783,200.704166,3.459503999999999,7.000000000000001e-09,0.24,0.20359999999999995,0.21908902300206645
28.0,1970-01-01 00:00:01.749540783,195.06348599999998,3.4570589999999997,7.2e-09,0.27999999999999997,0.21199999999999997,0.2280350850198276
29.0,1970-01-01 00:00:01.749540783,204.322564,3.484290999999999,7.599999999999999e-09,0.2,0.21679999999999994,0.2
30.0,1970-01-01 00:00:01.749540784,212.41317600000002,3.737943999999999,8e-09,0.32,0.2284,0.10954451150103321
31.0,1970-01-01 00:00:01.749540784,220.381338,3.752046999999999,8.199999999999999e-09,0.12000000000000002,0.21599999999999991,0.10954451150103323
32.0,1970-01-01 00:00:01.749540784,242.361042,3.851597999999999,8.800000000000001e-09,0.32,0.2452,0.1788854381999832
33.0,1970-01-01 00:00:01.749540785,244.624524,3.7265559999999995,9e-09,0.32,0.24399999999999994,0.17888543819998318
34.0,1970-01-01 00:00:01.749540785,253.990152,4.047137999999999,9.2e-09,0.24,0.2548,0.260768096208106
35.0,1970-01-01 00:00:01.749540785,260.590848,3.799161999999999,9.799999999999998e-09,0.32,0.24559999999999996,0.10954451150103323
36.0,1970-01-01 00:00:01.749540786,264.333496,4.092649,1e-08,0.28,0.242,0.10954451150103324
37.0,1970-01-01 00:00:01.749540786,281.355186,4.134433999999999,1.04e-08,0.24000000000000005,0.2468,0.08944271909999159
38.0,1970-01-01 00:00:01.749540787,285.27903399999997,4.779970999999998,1.1000000000000001e-08,0.4800000000000001,0.24359999999999996,0.22803508501982758
39.0,1970-01-01 00:00:01.749540787,288.821932,4.946707999999999,1.12e-08,0.32,0.21879999999999994,0.10954451150103324
40.0,1970-01-01 00:00:01.749540787,309.46512,5.032779999999999,1.1600000000000001e-08,0.44000000000000006,0.23479999999999995,0.3286335345030997
41.0,1970-01-01 00:00:01.749540788,308.235904,4.877750999999998,1.1999999999999998e-08,0.44000000000000006,0.2452,0.16733200530681508
42.0,1970-01-01 00:00:01.749540788,311.576502,4.888437999999999,1.24e-08,0.36,0.22439999999999993,0.1673320053068151
43.0,1970-01-01 00:00:01.749540788,320.63532999999995,4.9016199999999985,1.2599999999999999e-08,0.32,0.24399999999999994,0.17888543819998318
44.0,1970-01-01 00:00:01.749540789,339.50453600000003,5.674933999999999,1.3e-08,0.27999999999999997,0.2444,0.2280350850198276
45.0,1970-01-01 00:00:01.749540789,351.058896,5.689423999999999,1.3400000000000001e-08,0.28,0.23559999999999998,0.17888543819998318
