BPP_14&0.6900144533333334&546416.17720072&0.7546235721871105&5580634.32995246&0.7476586757436283&5640262.767335068&0.7382827359712214&5666372.349707228&0.7378385378234399&3824433.151266945&0.7415825363266766&4273664.519968869&0.7510644139725349&4860594.432062686 \\
BPP_181&0.6395295268817205&414865.5271247319&0.72559372999292&6039595.232518805&0.7177070774373246&6111586.002759467&0.720385234786516&6118910.812245332&&&0.710581175402184&4479356.502211645&& \\
BPP_195&0.6574276172839506&556791.1341962256&0.7312875768029364&6041543.126153915&0.7130496208756345&6056754.377341647&0.7177791405145391&6100175.501289671&0.7104425582150361&4114356.076132663&0.7231548972970827&4539403.512727505&0.7398061588860759&5049475.628838369 \\
BPP_359&0.6843010430107527&558663.9590435339&0.7181696415628815&6017622.490443996&0.7274672446941324&6077399.753862067&0.725181456080443&6089526.117749399&0.7066015043521208&4130582.463137557&0.7255515969204833&4512328.827339026&0.7098462543961352&5196171.509247347 \\
BPP_360&0.658720935897436&551947.4572766863&0.7548051219768903&5529792.771875801&0.7500236568682499&5559082.845112349&0.750184220731005&5617252.86402537&0.7439376798593114&3844815.209887614&0.7374173418538401&4227491.082839385&0.7399403843600096&4825685.9830104485 \\
BPP_40&0.7229566760563381&541147.4224192183&0.7656149344758487&5534569.109809868&0.7667893363853368&5624968.029249726&0.7447013297122205&5618011.258815875&0.7565412067080746&3787230.0480751805&0.7425622783003906&4271294.947957275&0.7556975938705214&4721722.694293583 \\
BPP_47&0.6559068111111112&552777.8748512934&&&&&&&&&&&& \\
BPP_60&0.6823729743589744&548262.5297603813&&&&&&&&&&&& \\
BPP_645&0.6840391805555556&542500.6516401159&&&&&&&&&&&& \\
BPP_785&0.6384070000000001&548311.3293345678&&&&&&&&&&&& \\
BPP_832&0.6622491842105264&555367.2886634797&&&&&&&&&&&& \\
