time,PKG,GPU
1749486750.7020,58838,61712
1749486750.9470,48191,59558
1749486751.2010,36669,59758
1749486751.4490,36901,59753
1749486751.6990,37139,59655
1749486751.9500,36211,59850
1749486752.2000,33327,59855
1749486752.4500,35697,56448
1749486752.7000,37709,56448
1749486752.9500,35699,56546
1749486753.1980,36108,56448
1749486753.4480,36307,61122
1749486753.6980,33332,56448
1749486753.9500,33286,56448
1749486754.2000,34396,61147
1749486754.4500,32024,56546
1749486754.7000,33155,56546
1749486754.9510,34174,61147
1749486755.2010,32769,56546
1749486755.4500,31700,56546
1749486755.7020,33890,60932
1749486755.9510,32064,56546
1749486756.2040,33166,56448
1749486756.4500,33368,61025
1749486756.7050,32187,56546
1749486756.9500,32938,56546
1749486757.1990,32908,61804
1749486757.4520,32090,56346
1749486757.7020,32566,56546
1749486757.9510,33879,58008
1749486758.2020,32871,56346
1749486758.4520,32633,56546
1749486758.7000,34148,59665
1749486758.9520,32636,56346
1749486759.2020,34250,59368
1749486759.4520,33430,56448
1749486759.7020,33247,56448
1749486759.9530,32498,56448
1749486760.2020,33470,56931
1749486760.4530,33407,56346
1749486760.7030,32681,56546
1749486760.9530,33528,56448
1749486761.2020,31992,56546
1749486761.4530,34182,56346
1749486761.7040,31936,56574
1749486761.9550,34634,61702
1749486762.2040,31642,56379
1749486762.4560,33817,60045
1749486762.7040,32127,56448
1749486762.9580,33887,57716
1749486763.2040,33461,56546
1749486763.4550,33071,56448
1749486763.7040,34589,56448
1749486763.9550,32288,56448
1749486764.2050,34662,62774
1749486764.4550,36073,61804
1749486764.7050,36037,64501
1749486764.9550,36166,62779
1749486765.2050,36136,62779
1749486765.4550,36257,61404
1749486765.7060,36446,63071
1749486765.9560,36099,62487
1749486766.2060,36230,61999
1749486766.4560,36391,63169
1749486766.7070,33470,56574
1749486766.9560,35692,62097
1749486767.2090,32856,56546
1749486767.4540,35591,62584
1749486767.7060,33505,56448
1749486767.9560,35041,61912
1749486768.2070,33471,56546
1749486768.4570,34725,56936
1749486768.7070,33560,56546
1749486768.9570,34945,58105
1749486769.2070,33302,56448
1749486769.4580,34467,57033
1749486769.7070,33450,56546
1749486769.9600,34709,57228
1749486770.2050,33176,56448
1749486770.4580,32381,56959
1749486770.7070,32817,56546
1749486770.9550,34166,58398
1749486771.2060,31894,56346
1749486771.4570,35772,61512
1749486771.7060,32493,56476
1749486771.9560,35896,58129
1749486772.2100,33036,56472
1749486772.4580,36222,56448
1749486772.7080,32877,56448
1749486772.9590,34870,56546
1749486773.2090,33111,56448
1749486773.4590,35461,56346
1749486773.7110,33788,56643
1749486773.9590,32740,56448
1749486774.2090,36031,61902
1749486774.4590,32750,56569
1749486774.7090,36767,56448
1749486774.9580,32975,56448
1749486775.2100,35346,56448
1749486775.4580,34320,56546
1749486775.7110,34084,56346
1749486775.9580,35529,58983
1749486776.2120,32584,56448
1749486776.4600,36241,61415
1749486776.7130,32924,56546
1749486776.9600,36594,56546
1749486777.2090,33376,56448
1749486777.4610,34614,56448
1749486777.7100,34296,56741
1749486777.9610,33138,56448
1749486778.2110,36454,60932
1749486778.4620,33003,56546
1749486778.7110,36662,56448
1749486778.9610,33152,56346
1749486779.2110,34705,56546
1749486779.4620,35404,56448
1749486779.7100,33819,56448
1749486779.9600,34807,59368
1749486780.2090,32896,56546
1749486780.4600,36549,59178
1749486780.7120,32317,56546
1749486780.9620,35115,62487
1749486781.2120,36147,61804
1749486781.4620,36377,63364
1749486781.7130,36377,61902
1749486781.9630,36253,62876
1749486782.2130,36323,63922
1749486782.4640,36492,63071
1749486782.7130,36428,62487
1749486782.9650,36460,64230
1749486783.2130,36332,59168
1749486783.4660,34084,56643
1749486783.7140,35028,56931
1749486783.9670,32477,56448
1749486784.2120,35659,62487
1749486784.4680,33162,56574
1749486784.7140,36165,56546
1749486784.9630,33427,56448
1749486785.2140,35060,56546
1749486785.4640,34647,56546
1749486785.7140,35011,56346
1749486785.9650,34843,56931
1749486786.2150,32604,56448
1749486786.4650,36019,63559
1749486786.7140,33092,56546
1749486786.9630,36453,59265
1749486787.2140,32846,56448
1749486787.4630,35827,56346
1749486787.7130,33215,56546
1749486787.9650,34780,56448
1749486788.2150,33912,56448
1749486788.4660,34296,56546
1749486788.7160,34429,56643
1749486788.9660,34289,56448
1749486789.2170,36082,62194
1749486789.4660,33470,56346
1749486789.7180,36974,56546
1749486789.9660,33294,56546
1749486790.2180,35824,56346
1749486790.4670,33273,56546
1749486790.7190,34382,56448
1749486790.9670,34827,56838
1749486791.2200,33163,56546
1749486791.4660,36866,59660
1749486791.7170,32740,56374
1749486791.9670,34974,56448
1749486792.2170,33857,56546
1749486792.4670,34181,56346
1749486792.7170,34469,56546
1749486792.9680,33618,56546
1749486793.2180,34799,59855
1749486793.4680,32081,56569
1749486793.7180,36948,59270
1749486793.9680,32734,56346
1749486794.2180,35336,56546
1749486794.4680,33758,56546
1749486794.7190,33510,56448
1749486794.9690,35840,61317
1749486795.2180,32936,56569
1749486795.4700,36372,56346
1749486795.7190,33263,56448
1749486795.9710,35127,56448
1749486796.2190,34120,56472
1749486796.4720,34324,56546
1749486796.7200,35706,56546
1749486796.9730,34072,56546
1749486797.2200,35751,56346
1749486797.4700,34247,56546
1749486797.7200,34129,56448
1749486797.9700,35542,62584
1749486798.2200,33495,56569
1749486798.4700,35559,61999
1749486798.7200,36494,63461
1749486798.9710,36642,62682
1749486799.2210,36381,62292
1749486799.4710,36695,62748
1749486799.7210,36500,63071
1749486799.9710,36746,62389
1749486800.2210,36515,62743
1749486800.4710,36366,63266
1749486800.7220,36444,57618
1749486800.9720,34260,56546
1749486801.2220,34249,57131
1749486801.4710,32983,56448
1749486801.7240,36456,60732
1749486801.9730,33300,56546
1749486802.2250,35397,56448
1749486802.4710,34163,56448
1749486802.7200,32862,56448
1749486802.9710,36175,61127
1749486803.2230,32960,56346
1749486803.4700,35212,56448
1749486803.7230,33285,56448
1749486803.9730,33323,56346
1749486804.2230,36092,62194
1749486804.4730,33097,56448
1749486804.7210,34443,56448
1749486804.9730,34180,56546
1749486805.2240,33085,56546
1749486805.4730,36976,59953
1749486805.7240,33412,56546
1749486805.9730,35121,56546
1749486806.2220,32915,56643
1749486806.4720,33532,56472
1749486806.7220,35677,60342
1749486806.9740,32766,56448
1749486807.2240,35027,56448
1749486807.4740,34088,56448
1749486807.7240,33494,56448
1749486807.9760,34863,62389
1749486808.2250,34101,56546
1749486808.4760,35261,56346
1749486808.7230,34361,56546
1749486808.9730,33713,56546
1749486809.2250,36172,60542
1749486809.4780,33340,56569
1749486809.7230,35238,56546
1749486809.9740,34098,56741
1749486810.2230,32996,56448
1749486810.4760,36968,56448
1749486810.7260,34522,56448
1749486810.9730,34263,56448
1749486811.2260,34715,58203
1749486811.4740,32578,56546
1749486811.7240,35443,56448
1749486811.9750,32848,56546
1749486812.2260,34382,56346
1749486812.4760,35201,59275
1749486812.7260,32288,56574
1749486812.9740,36563,56546
1749486813.2270,33988,56356
1749486813.4740,34347,56448
1749486813.7270,34652,57228
1749486813.9750,32206,56346
1749486814.2270,36519,56546
1749486814.4770,32178,56448
1749486814.7280,34524,56448
1749486814.9770,34161,56643
1749486815.2290,33766,56346
1749486815.4750,34789,63461
1749486815.7300,33781,56448
1749486815.9760,34752,56546
1749486816.2310,33312,56546
1749486816.4770,33201,56546
1749486816.7270,36253,61415
1749486816.9780,32613,56374
1749486817.2280,33911,63071
1749486817.4780,36359,62487
1749486817.7290,36472,62974
1749486817.9790,36490,63138
1749486818.2290,36511,62876
1749486818.4790,36585,62682
1749486818.7290,36662,62779
1749486818.9790,36476,63071
1749486819.2290,36449,62384
1749486819.4790,36538,63559
1749486819.7290,32562,56643
1749486819.9800,36949,59758
1749486820.2300,32615,56643
1749486820.4800,33671,56448
1749486820.7300,34172,61999
1749486820.9820,32296,56574
1749486821.2300,34850,56448
1749486821.4780,33182,56448
1749486821.7300,34003,56546
1749486821.9790,35677,61999
1749486822.2310,33689,56448
1749486822.4780,36339,56448
1749486822.7310,33032,56448
1749486822.9780,33772,56541
1749486823.2290,36006,60050
1749486823.4780,32636,56546
1749486823.7280,36219,56448
1749486823.9810,33268,56546
1749486824.2310,33869,56448
1749486824.4810,34444,56444
1749486824.7310,33144,56546
1749486824.9820,36987,56448
1749486825.2320,32024,56448
1749486825.4820,35004,56546
1749486825.7320,35266,56448
1749486825.9820,32682,56448
1749486826.2320,37059,56448
1749486826.4820,32376,56448
1749486826.7330,34651,56448
1749486826.9820,34935,57521
1749486827.2350,32771,56448
1749486827.4810,36538,57521
1749486827.7350,32899,56448
1749486827.9830,34605,56448
1749486828.2360,35500,56546
1749486828.4830,33363,56448
1749486828.7330,35857,62779
1749486828.9840,33575,56546
1749486829.2330,35104,56448
1749486829.4840,33039,57033
1749486829.7340,33210,56546
1749486829.9840,36522,56448
1749486830.2340,32276,56346
1749486830.4840,33622,56546
1749486830.7340,36412,62389
1749486830.9840,33476,56374
1749486831.2340,35417,56546
1749486831.4860,33778,56448
1749486831.7350,33422,56346
1749486831.9870,36671,61687
1749486832.2350,32721,56448
1749486832.4890,34916,56546
1749486832.7350,34460,56741
1749486832.9830,33251,56546
1749486833.2330,37019,56346
1749486833.4850,34279,56546
1749486833.7350,34836,56448
1749486833.9850,35167,58588
1749486834.2360,33149,56574
1749486834.4860,36740,56346
1749486834.7360,33340,56546
1749486834.9860,33745,56546
1749486835.2380,35969,62194
1749486835.4860,33446,56546
1749486835.7390,35651,56346
1749486835.9850,35546,56448
1749486836.2410,34477,61871
1749486836.4870,36257,63071
1749486836.7370,36333,62774
1749486836.9870,36224,62579
1749486837.2370,36448,64337
1749486837.4900,36489,63040
1749486837.7370,36362,62974
1749486837.9880,36300,63364
1749486838.2400,36445,63071
1749486838.4880,36370,62292
1749486838.7350,32940,56648
1749486838.9850,35827,56546
1749486839.2380,33211,56643
1749486839.4880,33709,56546
1749486839.7370,36254,61415
1749486839.9880,33505,56546
1749486840.2380,39685,56448
1749486840.4940,34652,56643
1749486840.7390,33594,56537
1749486840.9890,37151,56448
1749486841.2430,34082,56667
1749486841.4890,34032,56546
1749486841.7390,34909,61512
1749486841.9910,31990,56551
1749486842.2400,36170,56643
1749486842.4900,35583,56448
1749486842.7400,33265,56448
1749486842.9890,36690,57999
1749486843.2400,32843,56448
1749486843.4900,34261,56448
1749486843.7380,36284,59758
1749486843.9900,32910,56448
1749486844.2400,32673,56546
1749486844.4890,36097,61609
1749486844.7410,32890,56346
1749486844.9910,34408,56546
1749486845.2420,34849,58983
1749486845.4910,32940,56356
1749486845.7430,35469,56546
1749486845.9900,34014,56448
1749486846.2440,33334,56546
1749486846.4910,36213,61025
1749486846.7440,32277,56346
1749486846.9920,34551,56346
1749486847.2460,33818,56448
1749486847.4920,32415,56448
1749486847.7410,36911,56346
1749486847.9920,33437,56546
1749486848.2420,34331,56448
1749486848.4920,34650,57813
1749486848.7420,32006,56546
1749486848.9920,36934,56448
1749486849.2420,32858,56448
1749486849.4930,32783,56546
1749486849.7430,35254,61415
1749486849.9930,32203,56546
1749486850.2440,35526,56448
1749486850.4930,35015,56448
1749486850.7430,33321,56448
1749486850.9930,35378,61609
1749486851.2430,32228,56448
1749486851.4930,35282,56448
1749486851.7420,32932,56546
1749486851.9940,32232,56346
1749486852.2410,36325,56346
1749486852.4950,32898,56448
1749486852.7430,33693,56448
1749486852.9960,35852,63169
1749486853.2440,33802,56448
1749486853.4970,35032,56546
1749486853.7450,34095,56643
1749486853.9970,33440,56346
1749486854.2420,36970,56448
1749486854.4990,31020,56453
1749486854.7420,34454,56546
1749486854.9950,35614,56541
1749486855.2450,32907,56546
1749486855.4950,36963,56448
1749486855.7450,33735,56448
1749486855.9960,34514,64046
1749486856.2460,35889,63169
1749486856.4960,36193,62943
1749486856.7460,36081,62389
1749486856.9960,36161,62774
1749486857.2460,35919,62292
1749486857.4960,35967,63071
1749486857.7460,36199,63169
1749486857.9960,36161,62876
1749486858.2470,36079,64143
1749486858.4950,33998,56643
1749486858.7480,35540,61220
1749486858.9940,32379,56741
1749486859.2490,34776,56541
1749486859.4970,33190,56546
1749486859.7450,34133,56546
1749486859.9950,33760,60342
1749486860.2450,32202,56448
1749486860.4950,36319,56643
1749486860.7480,33698,56448
1749486860.9980,34907,56546
1749486861.2480,33468,56448
1749486861.4970,34156,56346
1749486861.7460,34613,60537
1749486861.9960,32319,56551
1749486862.2480,35419,56346
1749486862.4980,32563,56643
1749486862.7480,33612,56448
1749486862.9990,35721,62389
1749486863.2490,32275,56546
1749486863.4990,36724,56448
1749486863.7490,32013,56541
1749486863.9980,34136,56546
1749486864.2490,35873,56741
1749486864.5000,33736,56546
1749486864.7510,35763,61025
1749486865.0010,32215,56346
1749486865.2470,35163,56346
1749486865.4980,32288,56643
1749486865.7470,32043,56448
1749486865.9970,36148,56346
1749486866.2500,32416,56546
1749486866.4980,34413,56448
1749486866.7480,33956,62297
1749486867.0000,32176,56448
1749486867.2480,34873,56448
1749486867.4990,32504,56741
1749486867.7480,32510,56546
1749486868.0000,36655,56346
1749486868.2510,34839,56546
1749486868.4980,32467,56546
1749486868.7510,36512,56448
1749486869.0010,32268,56546
1749486869.2490,34300,56546
1749486869.5000,33717,58885
1749486869.7500,32211,56574
1749486870.0000,34711,56472
1749486870.2510,32374,56448
1749486870.5020,33678,56546
1749486870.7520,35174,62974
1749486871.0020,32912,56346
1749486871.2540,35651,56448
1749486871.5020,33910,56448
1749486871.7540,33918,56546
1749486872.0020,36069,61025
1749486872.2510,32003,56448
1749486872.5000,35094,56346
1749486872.7560,33468,56448
1749486873.0030,32676,56448
1749486873.2530,36347,58491
1749486873.5030,33224,56448
1749486873.7530,34726,56346
1749486874.0030,33915,56643
1749486874.2530,32042,56546
1749486874.5020,36362,59660
1749486874.7540,32273,56643
1749486875.0040,35474,62358
1749486875.2540,36251,62389
1749486875.5040,36454,62292
1749486875.7540,36393,63071
1749486876.0040,36174,62579
1749486876.2540,35934,62779
1749486876.5040,36413,63169
1749486876.7550,36282,62748
1749486877.0050,36280,62584
1749486877.2520,36038,59178
1749486877.5050,33130,56448
1749486877.7550,35236,61317
1749486878.0070,31687,56453
1749486878.2550,36111,56448
1749486878.5080,34623,56546
1749486878.7540,34177,56546
1749486879.0080,34630,62004
1749486879.2550,31979,56546
1749486879.5030,36144,56546
1749486879.7560,32198,56448
1749486880.0060,34372,56546
1749486880.2560,34934,58495
1749486880.5050,32064,56346
1749486880.7560,36788,56546
1749486881.0060,33823,56448
1749486881.2560,34159,56448
1749486881.5070,34516,59953
1749486881.7570,32317,56472
1749486882.0070,36196,56546
1749486882.2570,33083,56448
1749486882.5070,33280,56448
1749486882.7570,35956,61707
1749486883.0070,32142,56546
1749486883.2580,35224,56346
1749486883.5080,34775,56643
1749486883.7580,32731,56448
1749486884.0060,36200,56379
1749486884.2600,32357,56546
1749486884.5060,33624,56546
1749486884.7610,34523,58203
1749486885.0080,31953,56546
1749486885.2580,36887,56448
1749486885.5080,33030,56448
1749486885.7590,32724,56546
1749486886.0090,36581,59373
1749486886.2580,33584,56346
1749486886.5090,33996,56546
1749486886.7590,35542,62097
1749486887.0090,32193,56346
1749486887.2590,34991,56546
1749486887.5090,32893,56448
1749486887.7590,32885,56346
1749486888.0090,36503,58203
1749486888.2600,32806,56448
1749486888.5110,35957,56448
1749486888.7600,33387,56546
1749486889.0110,32713,56346
1749486889.2580,35989,61609
1749486889.5130,32042,56448
1749486889.7590,34528,56448
1749486890.0140,35527,57033
1749486890.2600,32656,56546
1749486890.5110,36973,56448
1749486890.7610,32463,56448
1749486891.0080,35218,56546
1749486891.2610,33227,56643
1749486891.5100,31620,56472
1749486891.7610,35567,56448
1749486892.0110,32809,56346
1749486892.2620,32645,56546
1749486892.5100,36642,56448
1749486892.7620,33528,56448
1749486893.0120,33110,56546
1749486893.2620,35095,62194
1749486893.5120,32408,56546
1749486893.7610,32915,56546
1749486894.0100,33970,62779
1749486894.2620,32382,56546
1749486894.5120,33546,63138
1749486894.7630,36160,63138
1749486895.0130,36127,62456
1749486895.2640,36098,61609
1749486895.5130,36211,62066
1749486895.7660,36287,62487
1749486896.0130,36220,63266
1749486896.2670,36231,63071
1749486896.5140,36059,62682
1749486896.7640,36235,62579
1749486897.0140,33140,56741
1749486897.2640,36886,56643
1749486897.5140,31999,56448
1749486897.7640,34383,56643
1749486898.0140,36185,60830
1749486898.2620,32319,56453
1749486898.5180,31573,56453
1749486898.7640,32038,56448
1749486899.0150,31989,61512
1749486899.2650,32556,56546
1749486899.5120,34282,56448
1749486899.7650,33580,56643
1749486900.0130,32211,56546
1749486900.2660,36862,56346
1749486900.5150,32514,56546
1749486900.7690,33122,56346
1749486901.0160,34418,63169
1749486901.2660,33016,56546
1749486901.5160,35823,56448
1749486901.7660,33933,56643
1749486902.0160,33371,56546
1749486902.2660,36975,56346
1749486902.5190,33578,56546
1749486902.7660,34587,56546
1749486903.0150,35320,61707
1749486903.2670,32694,56671
1749486903.5170,35713,56448
1749486903.7700,35092,56546
1749486904.0170,35023,56546
1749486904.2670,34727,62389
1749486904.5190,32014,56574
1749486904.7680,35850,56448
1749486905.0160,32538,56448
1749486905.2650,32835,56346
1749486905.5170,35263,61030
1749486905.7680,32249,56448
1749486906.0160,34909,56448
1749486906.2680,34734,56546
1749486906.5180,32939,56346
1749486906.7660,36710,56546
1749486907.0180,32338,56448
1749486907.2680,34098,56346
1749486907.5170,34483,62292
1749486907.7680,32517,56448
1749486908.0190,35486,56546
1749486908.2690,33361,56546
1749486908.5170,32387,56448
1749486908.7660,35856,56346
1749486909.0230,33564,56346
1749486909.2670,33468,56448
1749486909.5170,34714,61902
1749486909.7670,31978,56569
1749486910.0200,35485,56448
1749486910.2700,33124,56546
1749486910.5200,33467,56448
1749486910.7690,36024,60147
1749486911.0200,32206,56546
1749486911.2690,34560,56448
1749486911.5180,35259,56643
1749486911.7700,31887,56448
1749486912.0180,36684,56448
1749486912.2700,31642,56546
1749486912.5180,32561,56546
1749486912.7710,35904,60342
1749486913.0210,31958,56546
1749486913.2720,34539,56346
1749486913.5210,33030,56448
1749486913.7680,32402,56546
1749486914.0210,35972,56448
1749486914.2740,33680,56546
1749486914.5210,35123,62292
1749486914.7750,36244,63333
1749486915.0220,36151,62456
1749486915.2720,36083,62876
1749486915.5220,36205,63743
1749486915.7720,36277,63266
1749486916.0220,36291,62389
1749486916.2720,36081,63754
1749486916.5220,36222,62487
1749486916.7720,36212,62194
1749486917.0200,33378,56546
1749486917.2730,36073,61220
1749486917.5230,32204,56546
1749486917.7700,34672,56546
1749486918.0210,33647,57131
1749486918.2710,32439,56476
1749486918.5230,36216,56546
1749486918.7730,32411,56448
1749486919.0230,33679,56546
1749486919.2730,36135,63461
1749486919.5240,33321,56448
1749486919.7710,35490,56448
1749486920.0250,33473,56546
1749486920.2740,32472,56546
