time,PKG,GPU
1749564326.5750,25503,8132
1749564326.8210,44962,8128
1749564327.0720,36202,8128
1749564327.3220,36697,8128
1749564327.5720,36484,8324
1749564327.8220,35978,7931
1749564328.0710,34508,8131
1749564328.3200,24077,8035
1749564328.5710,22190,7741
1749564328.8210,20932,8132
1749564329.0720,23242,8328
1749564329.3230,25155,8035
1749564329.5720,22831,8132
1749564329.8230,23804,7937
1749564330.0720,23374,8132
1749564330.3230,21292,8035
1749564330.5720,25833,8036
1749564330.8220,26519,7840
1749564331.0720,26554,8329
1749564331.3230,25443,7938
1749564331.5720,24636,8035
1749564331.8210,27102,8035
1749564332.0720,27681,8228
1749564332.3220,27029,7839
1749564332.5710,30065,8130
1749564332.8220,29088,8032
1749564333.0710,29844,8329
1749564333.3220,27517,7839
1749564333.5740,26618,8031
1749564333.8240,29012,8031
1749564334.0740,28846,7931
1749564334.3240,29452,8132
1749564334.5740,28190,8230
1749564334.8250,29958,8132
1749564335.0740,29784,8225
1749564335.3250,30698,7835
1749564335.5750,29070,7938
1749564335.8250,29300,8035
1749564336.0750,29551,8132
1749564336.3250,30071,7937
1749564336.5760,31213,8132
1749564336.8260,29770,7937
1749564337.0760,30748,8129
1749564337.3260,31122,8035
1749564337.5760,30943,8035
1749564337.8260,29502,8129
1749564338.0740,26210,8524
1749564338.3260,27537,8031
1749564338.5760,31679,8129
1749564338.8260,29231,8132
1749564339.0770,31370,8329
1749564339.3260,30506,8029
1749564339.5770,31478,8031
1749564339.8260,31492,8035
1749564340.0770,30799,8225
1749564340.3270,30545,8036
1749564340.5770,32236,7934
1749564340.8270,30494,8130
1749564341.0750,30455,8328
1749564341.3250,28095,8035
1749564341.5780,30036,8325
1749564341.8270,31559,8029
1749564342.0770,26533,8031
1749564342.3270,31124,8132
1749564342.5780,32072,8225
1749564342.8280,31743,7937
1749564343.0780,30483,8325
1749564343.3280,31351,7931
1749564343.5790,32083,8130
1749564343.8290,31787,8225
1749564344.0790,32841,7938
1749564344.3290,30993,7840
1749564344.5790,31861,8128
1749564344.8290,32514,8032
1749564345.0800,26474,8227
1749564345.3300,32346,8031
1749564345.5800,32133,8029
1749564345.8270,31445,7934
1749564346.0780,31017,8227
1749564346.3290,31548,8035
1749564346.5800,31411,8128
1749564346.8290,32703,8031
1749564347.0780,31715,8225
1749564347.3300,30963,8031
1749564347.5800,32477,8029
1749564347.8300,32814,7835
1749564348.0800,30363,8031
1749564348.3290,32827,8225
1749564348.5780,32731,8035
1749564348.8310,27738,8029
1749564349.0810,31683,8128
1749564349.3310,32661,7933
1749564349.5810,31792,8031
1749564349.8310,32517,8031
1749564350.0810,33420,8324
1749564350.3300,33252,8029
1749564350.5810,30153,8031
1749564350.8320,33109,8128
1749564351.0810,31152,8130
1749564351.3320,31868,7937
1749564351.5820,32596,8035
1749564351.8310,31791,8035
1749564352.0800,32626,8329
1749564352.3300,32223,7934
1749564352.5830,29155,8128
1749564352.8330,31536,8328
1749564353.0820,32665,8426
1749564353.3310,32052,8035
1749564353.5820,30257,8029
1749564353.8330,32197,8029
1749564354.0830,33221,8227
1749564354.3310,32973,8035
1749564354.5830,30475,8128
1749564354.8340,33297,8132
1749564355.0820,33578,8619
1749564355.3330,33067,8029
1749564355.5840,32945,8128
1749564355.8340,32601,7739
1749564356.0840,32941,8619
1749564356.3340,32975,8031
1749564356.5820,33454,8031
1749564356.8330,34237,8031
1749564357.0850,29098,8329
1749564357.3330,33155,7938
1749564357.5840,31194,8128
1749564357.8350,33332,8035
1749564358.0860,32757,8421
1749564358.3350,32426,8128
1749564358.5840,32907,8132
1749564358.8350,33779,7933
1749564359.0850,32329,8231
1749564359.3350,33205,7931
1749564359.5850,32430,7934
1749564359.8350,33680,8032
1749564360.0860,32071,8225
1749564360.3340,33808,7937
1749564360.5860,30535,8029
1749564360.8340,34007,8031
1749564361.0870,30433,8227
1749564361.3360,34050,8031
