time,MEMORY,best_of_gen,average,TRAINED,gen
1751392012.7153654,1279732.0,-1300,-2253.0,False,1
1751392012.9550152,1288180.0,-1000,-2143.0,False,2
1751392013.1983666,1304532.0,-1200,-2070.0,False,3
1751392013.436498,1312756.0,-1100,-1958.0,False,4
1751392013.671989,1321652.0,-900,-1895.0,False,5
1751392013.9019718,1338068.0,-1000,-1925.0,False,6
1751392014.1297715,1346276.0,-800,-1795.0,False,7
1751392014.358669,1354788.0,-800,-1665.0,False,8
1751392014.5841367,1371140.0,-700,-1498.0,False,9
1751392014.809937,1379672.0,-700,-1390.0,False,10
1751392015.039186,1388688.0,-400,-1328.0,False,11
1751392015.3634052,1406048.0,-400,-1181.0,False,12
1751392015.5926263,1414560.0,-500,-1126.0,False,13
1751392015.823154,1430912.0,-400,-1074.0,False,14
1751392016.0502446,1440204.0,-300,-1028.0,False,15
1751392016.2755024,1457332.0,-300,-915.0,False,16
1751392016.5043464,1465620.0,-300,-881.0,False,17
1751392016.7354295,1473972.0,-200,-849.0,False,18
1751392016.9632783,1490796.0,-100,-753.0,False,19
1751392017.2179408,1499056.0,-300,-746.0,False,20
1751392017.4542,1515328.0,-200,-733.0,False,21
1751392017.6984215,1523840.0,-200,-814.0,False,22
1751392017.9601388,1540192.0,-200,-789.0,False,23
1751392018.205523,1548544.0,-200,-701.0,False,24
1751392018.4464962,1564896.0,0.35198038938053094,-700.9964801961062,False,25
1751392018.6900759,1573408.0,-100,-659.0,False,26
1751392018.9338825,1581696.0,0.3504050526315789,-561.9964959494737,False,27
1751392019.188014,1598112.0,0.3348210172413793,-586.9966517898276,False,28
1751392019.4367886,1606560.0,0.3348210172413793,-497.9966517898276,False,29
1751392019.6812258,1614904.0,0.3370955130434783,-467.98342069817096,False,30
1751392019.9200957,1631484.0,0.3478753913043478,-465.97654991331825,False,31
1751392020.1666355,1639836.0,0.3388534137931034,-467.9735081884706,False,32
1751392020.403149,1650736.0,0.34886464912280707,-413.96038541638495,False,33
1751392020.7426558,1663408.0,0.3540404778761062,-304.9229681116627,False,34
1751392020.9821959,1679888.0,0.35354513274336286,-344.9325467780489,False,35
1751392021.2175388,1688016.0,0.34886464912280707,-342.93616202084013,False,36
1751392021.4602208,1695984.0,0.3554330442477876,-374.9220261201241,False,37
1751392021.6955783,1712400.0,0.36485917117117117,-331.8838965631276,False,38
1751392021.9252982,1720560.0,0.36806607207207204,-366.86214875685624,False,39
1751392022.1618304,1729072.0,0.3788921651376147,-348.88524636924444,False,40
1751392022.4008667,1745424.0,0.3788921651376147,-326.8951591942075,False,41
1751392022.6314564,1753712.0,0.3788921651376147,-292.84468221222846,False,42
1751392022.8639345,1762224.0,0.3788921651376147,-293.82742798370936,False,43
1751392023.0962548,1778640.0,0.3879484220183486,-335.8634483289397,False,44
1751392023.3527741,1794676.0,0.3879484220183486,-357.87314448818995,False,45
1751392023.6140144,1803880.0,0.3921377757009346,-406.8874391245131,False,46
1751392023.866432,1819224.0,0.3963905794392523,-342.8370985046506,False,47
1751392024.1137574,1835880.0,0.3963905794392523,-315.8202332591025,False,48
1751392024.3574007,1844520.0,0.3996261698113208,-298.8068200950463,False,49
1751392024.6038046,1860808.0,0.40399403809523815,-280.81323040455004,False,50
1751392024.8551486,1869400.0,0.4058064,-398.8474576739316,False,51
1751392038.5124533,2014284.0,0.4157486990291262,-386.84999739929685,True,52
1751392038.75089,2014604.0,0.41570827184466025,-319.8243438564071,False,53
1751392038.9867818,2014604.0,0.41632251923076924,-311.8194263607361,False,54
1751392039.2163265,2014604.0,0.4200225631067961,-278.79624377482423,False,55
1751392039.448753,2014604.0,0.423233843137255,-362.8196688249443,False,56
1751392039.6905627,2014596.0,0.42465566666666665,-359.82310483634865,False,57
1751392039.9313667,2014596.0,0.4314034653465347,-345.8182589761298,False,58
1751392040.1661065,2014596.0,0.4314034653465347,-340.81236635868436,False,59
1751392040.4054897,2014596.0,0.4314034653465347,-403.82294355288695,False,60
1751392040.638356,2009748.0,0.43692034,-393.8474764672922,False,61
1751392040.9699306,2009748.0,0.44105308,-363.8383215261528,False,62
1751392041.2033231,2009468.0,0.44600438383838387,-346.8234311519278,False,63
1751392041.4396544,2009468.0,0.44600438383838387,-359.8182993547783,False,64
1751392041.6770499,2009720.0,0.44600438383838387,-309.7639758839596,False,65
1751392041.9094348,2009784.0,0.44600438383838387,-329.7842398063036,False,66
1751392042.1354134,2009848.0,0.4465583838383838,-301.76069210626406,False,67
1751392042.3681264,2010416.0,0.44666111111111106,-368.79567143199273,False,68
1751392042.5979083,2011300.0,0.44666111111111106,-359.80843151419396,False,69
1751392042.8267605,2011552.0,0.446938,-284.7770032973737,False,70
1751392043.0613978,2012372.0,0.44666111111111106,-356.81259822969696,False,71
1751392043.2984252,2012744.0,0.44666111111111106,-379.8215581870807,False,72
1751392043.5344653,2013816.0,0.44666111111111106,-435.8347607179798,False,73
1751392043.7758238,2014068.0,0.44666111111111106,-386.8349423175463,False,74
