
time,best_of_gen,average,gen
1749486753.788666,0.0,0.002,1
1749486754.1650746,0.2,0.016,2
1749486754.5353673,0.0,0.01,3
1749486754.9012501,0.0,0.012,4
1749486755.2830846,0.0,0.016,5
1749486755.6555235,0.0,0.036000000000000004,6
1749486756.0329013,0.0,0.04,7
1749486756.4099548,0.2,0.034,8
1749486756.7678137,0.0,0.042,9
1749486757.1238399,0.2,0.05200000000000001,10
1749486757.489849,0.4,0.06,11
1749486757.8399704,0.2,0.09999999999999998,12
1749486758.2434714,0.4,0.154,13
1749486758.674201,0.4,0.136,14
1749486759.1062725,0.2,0.15799999999999997,15
1749486759.527158,0.2,0.226,16
1749486760.0698264,0.2,0.236,17
1749486760.5113378,0.2,0.242,18
1749486760.9858823,0.2,0.234,19
1749486761.458029,0.4,0.226,20
1749486761.907214,1.0,0.25999999999999995,21
1749486762.3850443,0.4,0.3,22
1749486762.8426821,0.4,0.252,23
1749486763.2715025,0.2,0.264,24
1749486763.7274916,0.4,0.262,25
1749486766.8952787,0.4,0.282,26
1749486767.3721964,0.2,0.284,27
1749486767.8595738,0.6,0.306,28
1749486768.329113,0.4,0.256,29
1749486768.8499658,0.2,0.3,30
1749486769.3338263,0.2,0.306,31
1749486769.8437345,0.0,0.294,32
1749486770.3103557,0.8,0.3,33
1749486770.845763,0.8,0.304,34
1749486771.403339,0.2,0.3400000000000001,35
1749486771.9373612,0.4,0.332,36
1749486772.445352,0.6,0.36800000000000005,37
1749486773.0069327,0.0,0.3820000000000002,38
1749486773.5558605,0.4,0.3440000000000001,39
1749486774.1500707,0.8,0.3600000000000001,40
1749486774.7142496,0.8,0.344,41
1749486775.2787323,0.8,0.314,42
1749486775.8589466,0.4,0.344,43
1749486776.4132915,0.6,0.342,44
1749486776.992634,0.6,0.3480000000000001,45
1749486777.5701177,0.0,0.338,46
1749486778.1584728,0.4,0.35200000000000004,47
1749486778.709947,0.4,0.3400000000000001,48
1749486779.2935755,0.4,0.348,49
1749486779.8549473,0.4,0.332,50
1749486780.4323738,0.8,0.35400000000000004,51
1749486783.5832179,0.8,0.33599999999999997,52
1749486784.1475368,0.6,0.282,53
1749486784.718518,0.4,0.35600000000000004,54
1749486785.305407,0.2,0.308,55
1749486785.834499,0.2,0.30400000000000005,56
1749486786.3739011,0.4,0.33199999999999996,57
1749486786.9378288,0.4,0.31,58
1749486787.4737194,0.4,0.28600000000000003,59
1749486788.0252495,0.4,0.30400000000000005,60
1749486788.5724437,0.0,0.3360000000000001,61
1749486789.1432886,0.8,0.35600000000000004,62
1749486789.7044446,0.2,0.29,63
1749486790.2644901,0.4,0.23800000000000002,64
1749486790.8347695,0.4,0.312,65
1749486791.4355636,0.6,0.294,66
1749486791.9959912,0.4,0.322,67
1749486792.558363,0.6,0.30999999999999994,68
1749486793.1150317,0.6,0.30400000000000005,69
1749486793.6895847,0.4,0.36,70
1749486794.274199,0.6,0.318,71
1749486794.8889716,0.4,0.32400000000000007,72
1749486795.4547448,0.2,0.344,73
1749486796.0387926,0.6,0.35800000000000004,74
1749486796.6190734,0.6,0.3,75
1749486797.2924736,0.4,0.374,76
1749486797.8758695,0.4,0.30400000000000005,77
1749486801.0949612,0.4,0.3,78
1749486801.6878636,0.4,0.32800000000000007,79
1749486802.3045669,0.4,0.32800000000000007,80
1749486802.9244268,0.8,0.3360000000000001,81
1749486803.531528,0.2,0.336,82
1749486804.1621053,0.6,0.3520000000000001,83
1749486804.8118732,0.2,0.382,84
1749486805.4418614,0.2,0.37200000000000005,85
1749486806.059622,0.2,0.312,86
1749486806.6833096,0.8,0.3220000000000001,87
1749486807.2974968,0.4,0.284,88
1749486807.9014537,0.4,0.31200000000000006,89
1749486808.5542645,0.4,0.302,90
1749486809.1870413,0.6,0.35800000000000004,91
1749486809.8331738,0.4,0.326,92
1749486810.4608958,0.2,0.35800000000000004,93
1749486811.1103673,0.2,0.35,94
1749486811.7529476,0.2,0.36200000000000004,95
1749486812.366276,0.2,0.326,96
1749486812.9744778,0.4,0.33799999999999997,97
1749486813.5992408,0.6,0.35600000000000004,98
1749486814.2159514,0.4,0.36800000000000005,99
1749486814.8300097,0.6,0.32199999999999995,100
1749486815.4138455,0.2,0.304,101
1749486816.0360916,0.6,0.35200000000000015,102
1749486816.6815462,0.8,0.358,103
1749486819.9433293,0.6,0.36600000000000016,104
1749486820.630901,0.6,0.35200000000000004,105
1749486821.2626083,0.6,0.322,106
1749486821.8885422,0.2,0.38799999999999996,107
1749486822.5046253,0.4,0.376,108
1749486823.1300962,0.4,0.34400000000000014,109
1749486823.7177753,0.4,0.324,110
1749486824.32265,0.4,0.338,111
1749486824.9675357,0.6,0.31000000000000005,112
1749486825.5697331,0.6,0.3740000000000001,113
1749486826.2066863,0.4,0.37000000000000005,114
1749486826.8547351,0.4,0.3460000000000001,115
1749486827.4533193,0.4,0.332,116
1749486828.0687273,0.8,0.3600000000000001,117
1749486828.662118,0.2,0.41400000000000003,118
1749486829.3459136,0.4,0.39799999999999996,119
1749486829.9882078,0.4,0.3680000000000001,120
1749486830.654682,0.6,0.3600000000000001,121
1749486831.2934873,0.6,0.39399999999999996,122
1749486831.942861,0.8,0.36800000000000005,123
1749486832.583924,0.4,0.3400000000000001,124
1749486833.2205336,0.4,0.3520000000000001,125
1749486833.8680456,0.8,0.312,126
1749486834.4995427,0.4,0.3840000000000001,127
1749486835.1553147,0.4,0.3760000000000001,128
1749486835.8073025,0.2,0.3500000000000001,129
1749486839.04222,0.2,0.36200000000000004,130
1749486839.6770341,0.6,0.3440000000000001,131
1749486840.316007,0.6,0.39199999999999996,132
1749486840.9648697,0.6,0.348,133
1749486841.643098,0.8,0.40199999999999997,134
1749486842.2998753,0.2,0.38,135
1749486842.9567504,0.8,0.34800000000000003,136
1749486843.6605296,0.4,0.35600000000000004,137
1749486844.4375389,0.4,0.37,138
1749486845.1246676,0.2,0.322,139
1749486845.799125,0.0,0.366,140
1749486846.437101,0.4,0.3560000000000001,141
1749486847.07282,0.6,0.3299999999999999,142
1749486847.7280047,0.2,0.3600000000000001,143
1749486848.3673046,0.2,0.312,144
1749486849.0075476,0.4,0.41200000000000003,145
1749486849.6836753,0.2,0.37800000000000006,146
1749486850.315027,0.2,0.316,147
1749486850.9227028,1.0,0.37,148
1749486851.5607686,0.4,0.366,149
1749486852.226985,0.0,0.38000000000000006,150
1749486852.9077466,0.6,0.37999999999999995,151
1749486853.57006,0.4,0.306,152
1749486854.2423697,0.6,0.374,153
1749486854.846781,0.4,0.338,154
1749486855.4963279,0.8,0.33799999999999997,155
1749486858.6665554,0.4,0.28800000000000003,156
1749486859.2771394,0.6,0.332,157
1749486859.8825536,0.6,0.292,158
1749486860.4680707,0.8,0.268,159
1749486861.053802,0.4,0.30199999999999994,160
1749486861.631212,0.4,0.37800000000000006,161
1749486862.2854664,0.8,0.28800000000000003,162
1749486862.898844,0.2,0.33199999999999996,163
1749486863.487116,0.2,0.29,164
1749486864.1139905,0.6,0.312,165
1749486864.691834,0.4,0.312,166
1749486865.3248076,0.4,0.286,167
1749486865.9831161,0.2,0.28,168
1749486866.6612568,0.4,0.35400000000000004,169
1749486867.3254607,0.0,0.30999999999999994,170
1749486868.0297666,0.0,0.392,171
1749486868.7323062,0.4,0.39399999999999996,172
1749486869.3766983,0.4,0.30599999999999994,173
1749486870.0625958,0.2,0.34,174
1749486870.6783266,0.6,0.368,175
1749486871.329149,0.6,0.398,176
1749486871.9437041,0.6,0.38,177
1749486872.576105,0.4,0.34,178
1749486873.2146068,0.0,0.35,179
1749486873.8440294,0.6,0.34600000000000003,180
1749486874.4564898,0.4,0.306,181
1749486877.6546314,0.2,0.32799999999999996,182
1749486878.2680295,0.6,0.3340000000000001,183
1749486878.9039378,0.4,0.33399999999999996,184
1749486879.4987133,0.4,0.306,185
1749486880.1327257,1.0,0.27399999999999997,186
1749486880.7489471,0.4,0.32199999999999995,187
1749486881.388246,0.0,0.29200000000000004,188
1749486882.039106,0.2,0.29000000000000004,189
1749486882.6850686,0.6,0.294,190
1749486883.3309436,0.6,0.366,191
1749486883.9657238,0.6,0.34600000000000003,192
1749486884.6336405,0.6,0.33,193
1749486885.2851255,0.2,0.36800000000000005,194
1749486885.9648538,0.2,0.35,195
1749486886.6740417,0.6,0.316,196
1749486887.3366196,0.4,0.32000000000000006,197
1749486887.9690628,0.6,0.322,198
1749486888.553069,0.4,0.31800000000000006,199
1749486889.2004256,0.2,0.336,200
1749486889.872129,0.4,0.36400000000000005,201
1749486890.5067945,0.4,0.36600000000000016,202
1749486891.0903206,0.6,0.31799999999999995,203
1749486891.7862313,0.2,0.30400000000000005,204
1749486892.4925406,0.4,0.39399999999999996,205
1749486893.1676407,0.2,0.37200000000000005,206
1749486893.924138,0.8,0.37400000000000005,207
1749486897.2453306,0.6,0.3840000000000001,208
1749486897.9057498,0.8,0.35600000000000004,209
1749486898.9168005,0.6,0.32800000000000007,210
1749486899.5948582,0.4,0.37800000000000006,211
1749486900.2641697,0.2,0.3400000000000001,212
1749486900.8958805,0.4,0.3840000000000001,213
1749486901.5940213,0.6,0.384,214
1749486902.2901282,0.4,0.3440000000000001,215
1749486902.9045582,0.4,0.3320000000000001,216
1749486903.5631702,0.2,0.36400000000000005,217
1749486904.1603124,0.6,0.348,218
1749486904.7993155,0.4,0.324,219
1749486905.4594326,0.6,0.35600000000000004,220
1749486906.0878108,0.8,0.3400000000000001,221
1749486906.7290947,0.6,0.30000000000000004,222
1749486907.4035194,0.0,0.36,223
1749486908.0791101,0.6,0.368,224
1749486908.7506676,0.2,0.36,225
1749486909.4159284,0.6,0.36,226
1749486910.0665703,0.2,0.3760000000000001,227
1749486910.7152748,0.0,0.34600000000000003,228
1749486911.3667736,0.2,0.338,229
1749486912.028379,0.6,0.2820000000000001,230
1749486912.7110562,0.0,0.306,231
1749486913.3496194,0.4,0.33000000000000007,232
1749486913.9882598,0.2,0.3340000000000001,233
1749486917.21195,0.6,0.296,234
1749486917.8724618,0.4,0.344,235
1749486918.532396,0.4,0.36599999999999994,236
1749486919.1895769,0.4,0.3420000000000001,237
1749486919.827059,0.4,0.29600000000000004,238
1749486920.4743671,0.0,0.30999999999999994,239
1749486921.0967865,0.4,0.33,240
1749486921.7293866,0.4,0.3960000000000001,241
1749486922.3713422,0.4,0.364,242
1749486923.0226629,0.4,0.308,243
1749486923.6603737,0.6,0.34,244
1749486924.281833,0.6,0.32599999999999996,245
1749486924.8790169,0.2,0.3340000000000001,246
1749486925.5389051,0.4,0.40400000000000014,247
1749486926.1572638,0.2,0.32400000000000007,248
1749486926.7883945,0.8,0.35800000000000004,249
1749486927.4547212,0.4,0.35800000000000004,250
1749486928.1587,0.2,0.3440000000000001,251
1749486928.8338277,0.4,0.348,252
1749486929.512578,0.6,0.34400000000000014,253
1749486930.3196216,0.4,0.358,254
1749486930.988574,0.2,0.36800000000000005,255
1749486931.681429,0.4,0.344,256
1749486932.339099,0.0,0.284,257
1749486933.0028446,0.6,0.3400000000000001,258
1749486933.696738,1.0,0.36,259
1749486936.946875,0.4,0.308,260
1749486937.6384006,1.0,0.3440000000000001,261
1749486938.3111703,0.8,0.29600000000000004,262
1749486938.9596395,0.0,0.314,263
1749486939.6136837,0.6,0.30000000000000004,264
1749486940.2740982,0.4,0.31,265
1749486940.9311457,0.4,0.306,266
1749486941.576424,0.8,0.34800000000000003,267
1749486942.2266831,0.2,0.40399999999999997,268
1749486942.890008,0.6,0.37400000000000005,269
1749486943.5445251,0.4,0.42199999999999993,270
1749486944.2220783,0.6,0.3440000000000001,271
1749486944.8939118,0.6,0.35,272
1749486945.5412924,1.0,0.39199999999999996,273
1749486946.1972063,0.2,0.336,274
1749486946.8431191,0.8,0.322,275
1749486947.496019,1.0,0.3420000000000001,276
1749486948.117054,0.0,0.29400000000000004,277
1749486948.751387,0.4,0.31200000000000006,278
1749486949.4606273,0.4,0.384,279
1749486950.1471024,0.4,0.30000000000000004,280
1749486950.8547149,0.4,0.36199999999999993,281
