time,PKG,GPU
1746704618.8980,29985,9698
1746704619.1440,41718,9693
1746704619.3940,35551,9790
1746704619.6440,36072,9693
1746704619.8940,36357,9301
1746704620.1440,35637,9496
1746704620.3930,33122,9596
1746704620.6450,22681,11649
1746704620.8920,22134,11455
1746704621.1420,22095,12627
1746704621.3920,22814,12921
1746704621.6450,23010,9496
1746704621.8950,26546,9698
1746704622.1450,27994,9894
1746704622.3950,22482,9404
1746704622.6450,22457,12825
1746704622.8950,25796,9209
1746704623.1440,26742,9991
1746704623.3970,20362,14484
1746704623.6460,20422,12335
1746704623.8950,22883,12335
1746704624.1470,23074,12822
1746704624.3950,25564,9502
1746704624.6450,24833,10768
1746704624.8960,32099,9985
1746704625.1460,41317,10865
1746704625.3970,43310,8519
1746704625.6510,42291,11062
1746704625.8970,39855,9013
1746704626.1470,30212,8230
1746704626.3970,30158,8231
1746704626.6470,30958,8329
1746704626.8970,28111,8427
1746704627.1460,29593,8132
1746704627.3960,30153,7937
1746704627.6520,30021,10380
1746704627.8980,29327,8328
1746704628.1480,30632,8230
1746704628.3980,31227,10575
1746704628.6480,29827,10575
1746704628.8970,28065,8035
1746704629.1470,30560,8328
1746704629.3960,30711,8132
1746704629.6480,29117,9888
1746704629.8980,30844,10768
1746704630.1470,30527,8329
1746704630.3960,29635,8427
1746704630.6480,28242,8035
1746704630.8960,29909,8329
1746704631.1490,30111,10865
1746704631.3980,30893,8035
1746704631.6480,30543,8719
1746704631.8980,30162,8230
1746704632.1480,30582,8325
1746704632.3990,30737,8231
1746704632.6470,31930,8231
1746704632.8990,30858,10377
1746704633.1500,32423,8031
1746704633.4000,30965,10671
1746704633.6470,31041,8231
1746704633.9000,30706,9888
1746704634.1470,32537,8325
1746704634.3990,29640,8622
1746704634.6500,31821,9597
1746704634.8970,33005,8328
1746704635.1500,31664,8132
1746704635.4000,28393,8425
1746704635.6500,32252,9202
1746704635.9000,32116,8719
1746704636.1510,30594,8036
1746704636.4030,31689,10768
1746704636.6510,32228,8716
1746704636.9010,31126,8326
1746704637.1510,32548,8329
1746704637.4010,31367,8035
1746704637.6550,31103,10867
1746704637.9020,32601,9105
1746704638.1520,32224,8714
1746704638.4010,32068,8325
1746704638.6490,32029,8622
1746704638.8990,32050,8426
1746704639.1490,31160,8328
1746704639.4010,30142,8231
1746704639.6520,29745,9105
1746704639.9020,32339,9698
1746704640.1520,32225,10084
1746704640.4030,31641,9890
1746704640.6530,33182,9007
1746704640.9030,31952,9007
1746704641.1530,32493,9107
1746704641.4030,32852,8811
1746704641.6530,32135,8716
1746704641.9030,31606,9302
1746704642.1530,32897,10376
1746704642.4030,32091,8035
1746704642.6520,32960,8132
1746704642.9020,32994,8524
1746704643.1520,32629,8132
1746704643.4020,32506,8132
1746704643.6520,33320,8035
1746704643.9040,29377,9009
1746704644.1540,31830,10379
1746704644.4050,32306,8814
1746704644.6530,33585,8035
1746704644.9020,33527,8035
1746704645.1520,32324,8329
1746704645.4050,29398,9007
1746704645.6550,32048,8231
1746704645.9030,33391,8230
1746704646.1550,31470,8521
1746704646.4050,33695,8325
1746704646.6550,33289,9793
1746704646.9040,33275,8427
1746704647.1550,33561,8325
1746704647.4050,29457,8231
1746704647.6530,34157,8031
1746704647.9060,31385,10086
1746704648.1540,33514,8230
1746704648.4060,33024,8421
1746704648.6560,33062,9205
1746704648.9060,33460,8231
1746704649.1560,34314,8035
1746704649.4060,33509,8325
1746704649.6560,33515,10572
1746704649.9070,34192,8128
1746704650.1570,33188,8231
1746704650.4070,33461,8617
1746704650.6620,32830,10573
1746704650.9070,33729,7938
1746704651.1570,32061,10084
1746704651.4070,33914,8426
1746704651.6570,33626,8225
1746704651.9060,33666,8231
1746704652.1580,33369,8129
1746704652.4070,32290,8231
1746704652.6580,34012,8521
1746704652.9070,32786,8132
1746704653.1580,34264,8227
1746704653.4080,32431,9597
1746704653.6560,34296,8328
1746704653.9130,31382,10865
1746704654.1580,34114,8519
1746704654.4090,33144,10380
1746704654.6590,34966,8422
1746704654.9090,33370,10280
1746704655.1590,33647,8225
1746704655.4070,32461,7938
1746704655.6590,32718,10575
1746704655.9070,35288,8132
1746704656.1590,32001,10671
1746704656.4090,35306,8227
1746704656.6580,30780,8132
1746704656.9100,32780,9988
1746704657.1600,34383,8227
1746704657.4080,33114,7938
1746704657.6600,33866,8618
1746704657.9100,34032,8324
1746704658.1600,34048,7937
1746704658.4100,35012,8423
1746704658.6580,33969,8036
1746704658.9150,31996,10672
1746704659.1610,33612,8814
1746704659.4080,34909,8231
1746704659.6610,32420,7938
1746704659.9110,33097,9499
1746704660.1610,34801,8225
1746704660.4110,34191,10376
1746704660.6610,35193,8225
1746704660.9100,34533,8132
1746704661.1620,33774,9205
1746704661.4120,35074,8225
1746704661.6590,34474,8035
1746704661.9120,33050,10671
1746704662.1620,35212,8421
1746704662.4120,34253,8132
1746704662.6600,31897,8129
1746704662.9120,32520,8132
1746704663.1620,32550,9496
1746704663.4130,34055,8325
1746704663.6630,34369,8031
1746704663.9130,33966,8228
1746704664.1680,34020,10867
1746704664.4130,34369,8617
1746704664.6620,34933,8132
1746704664.9130,30279,8325
1746704665.1610,33909,8426
1746704665.4130,33447,8231
1746704665.6640,34717,8716
1746704665.9140,35028,8423
1746704666.1610,34862,8231
1746704666.4110,33106,8328
1746704666.6640,33013,10768
1746704666.9140,34102,8811
1746704667.1640,33639,8619
1746704667.4140,35199,8225
1746704667.6620,35146,8132
1746704667.9150,33051,8035
1746704668.1650,34593,8908
1746704668.4150,35334,8324
1746704668.6640,36538,8132
1746704668.9120,34938,7937
1746704669.1630,33963,8132
1746704669.4130,34404,8328
1746704669.6640,34492,8035
1746704669.9150,34573,10573
1746704670.1630,35502,8035
1746704670.4130,34619,8231
1746704670.6650,34799,8035
1746704670.9150,35182,8231
1746704671.1660,33978,9301
1746704671.4160,35216,8618
1746704671.6660,36148,8618
1746704671.9160,35391,8227
1746704672.1640,35425,8035
1746704672.4160,32945,8128
1746704672.6640,35726,8328
1746704672.9160,32918,8225
1746704673.1660,34283,8031
1746704673.4170,33690,8128
1746704673.6640,36690,8231
1746704673.9160,35223,8426
1746704674.1670,35749,9302
1746704674.4170,35479,8623
1746704674.6670,34435,8814
1746704674.9170,35241,8227
1746704675.1680,34474,8128
1746704675.4180,34961,8029
1746704675.6680,36263,8324
1746704675.9180,35384,8423
1746704676.1680,35393,8227
1746704676.4180,36211,8031
1746704676.6690,35274,8324
1746704676.9180,36201,8128
1746704677.1680,36247,8130
1746704677.4190,35014,8128
1746704677.6680,35429,8227
1746704677.9190,32739,8031
1746704678.1690,35692,8225
1746704678.4190,35630,8324
1746704678.6690,36476,8225
1746704678.9190,36369,8422
1746704679.1700,36621,8031
1746704679.4200,36633,7931
1746704679.6700,36662,8324
1746704679.9190,35767,8421
1746704680.1700,36393,8129
1746704680.4200,37636,8032
1746704680.6680,37673,8524
1746704680.9200,34502,8225
1746704681.1700,35557,8423
1746704681.4200,36274,8128
1746704681.6710,34669,8129
1746704681.9210,35657,8225
1746704682.1710,35922,8423
1746704682.4210,35890,8422
1746704682.6710,36188,8617
1746704682.9220,36670,9691
1746704683.1720,36245,10671
1746704683.4220,36653,9009
1746704683.6720,36086,8132
1746704683.9200,36142,7937
1746704684.1720,35537,8225
1746704684.4220,36160,8031
1746704684.6720,35288,7934
1746704684.9220,35685,8423
1746704685.1720,35829,8811
1746704685.4220,35547,8811
1746704685.6770,34754,10475
1746704685.9220,36513,8132
1746704686.1720,36694,8231
1746704686.4200,35840,8132
1746704686.6730,34852,7933
1746704686.9230,35734,8031
1746704687.1730,36595,8227
1746704687.4230,36357,8521
1746704687.6730,36418,8618
1746704687.9240,36058,10867
1746704688.1730,36826,8035
1746704688.4210,36294,8328
1746704688.6740,33860,8029
1746704688.9240,35763,7931
1746704689.1740,36581,8323
1746704689.4240,36189,8423
1746704689.6740,36110,8714
1746704689.9240,36602,9888
1746704690.1740,36847,8328
1746704690.4250,36543,8231
1746704690.6740,33733,8029
1746704690.9250,35974,8225
1746704691.1750,35977,8422
1746704691.4250,35656,9301
1746704691.6740,35992,8231
1746704691.9230,37013,8035
1746704692.1750,35416,8421
1746704692.4260,35195,8129
1746704692.6760,36330,8423
1746704692.9290,36089,10768
1746704693.1740,37177,8231
1746704693.4230,36676,8035
1746704693.6760,34065,8324
1746704693.9260,36657,8031
1746704694.1760,36469,8029
1746704694.4260,35114,9596
1746704694.6750,37034,8132
1746704694.9270,37109,8035
1746704695.1760,37420,8225
1746704695.4270,33676,8129
1746704695.6750,35483,8328
1746704695.9240,37243,8329
1746704696.1770,36318,8029
1746704696.4270,35941,8225
1746704696.6770,34679,10182
1746704696.9250,36806,8132
1746704697.1780,35093,7934
1746704697.4280,35706,8225
1746704697.6780,35008,10376
1746704697.9250,37429,8132
1746704698.1780,35141,8225
1746704698.4280,36731,8031
1746704698.6780,35904,8423
1746704698.9280,36052,8329
1746704699.1760,36769,8132
1746704699.4290,35497,8128
1746704699.6790,36157,8225
1746704699.9290,35828,10377
1746704700.1770,37553,8036
1746704700.4290,34059,8029
1746704700.6790,35890,8324
1746704700.9290,35923,10868
1746704701.1770,37189,8132
1746704701.4290,34234,8032
1746704701.6800,35717,8128
1746704701.9290,36466,8524
1746704702.1790,36294,8031
1746704702.4300,34998,8225
