time,PKG,GPU
1746714140.4990,0,8035
1746714140.7450,46332,8029
1746714140.9960,37883,8029
1746714141.2460,36562,7934
1746714141.4960,37698,8031
1746714141.7460,36984,8032
1746714141.9950,39388,8132
1746714142.2470,25649,8230
1746714142.4960,30582,8130
1746714142.7470,28724,7937
1746714142.9960,31123,8225
1746714143.2450,30233,8130
1746714143.4960,32701,8225
1746714143.7470,29120,8035
1746714143.9950,27638,8035
1746714144.2450,32727,8231
1746714144.4960,30413,8329
1746714144.7450,31542,7840
1746714144.9950,33102,7937
1746714145.2480,28963,8132
1746714145.4970,30123,8032
1746714145.7470,28885,8036
1746714145.9970,30147,7836
1746714146.2470,26335,8231
1746714146.4980,29712,8329
1746714146.7480,31158,7938
1746714146.9980,30480,8128
1746714147.2480,35768,7933
1746714147.4980,36904,7936
1746714147.7480,33416,8032
1746714147.9990,35245,8129
1746714148.2490,34014,8035
1746714148.4990,34770,8129
1746714148.7460,32980,8032
1746714148.9990,33230,8227
1746714149.2470,34869,8032
1746714149.4970,34346,8325
1746714149.7470,35926,8132
1746714149.9990,34437,8225
1746714150.2480,32763,8035
1746714150.5000,34870,8324
1746714150.7490,34457,8032
1746714150.9980,35036,8035
1746714151.2490,32753,8035
1746714151.4990,35469,8128
1746714151.7480,34603,7934
1746714152.0000,35007,8128
1746714152.2500,35747,8128
1746714152.5010,33049,8032
1746714152.7510,32184,8031
1746714153.0010,32587,8035
1746714153.2510,34103,8132
1746714153.5000,37216,8328
1746714153.7510,36297,7934
1746714153.9990,35757,7934
1746714154.2510,37382,8031
1746714154.5010,36568,8324
1746714154.7510,35892,8029
1746714154.9990,34738,8129
1746714155.2500,31633,8132
1746714155.4990,35805,8228
1746714155.7500,33498,8032
1746714156.0020,33424,7934
1746714156.2520,35354,8225
1746714156.5020,36155,8426
1746714156.7520,34110,7934
1746714157.0030,36525,8035
1746714157.2530,35960,8128
1746714157.5030,35226,8423
1746714157.7530,36356,8129
1746714158.0030,36029,8029
1746714158.2530,35728,7934
1746714158.5030,36230,8231
1746714158.7510,37399,8031
1746714159.0010,35665,7934
1746714159.2510,32138,8328
1746714159.5020,33323,8426
1746714159.7540,36184,8031
1746714160.0040,36312,8035
1746714160.2540,35080,8132
1746714160.5040,36359,8227
1746714160.7540,35816,7938
1746714161.0040,35699,7938
1746714161.2550,34821,8231
1746714161.5050,34984,8424
1746714161.7550,34134,8035
1746714162.0040,34622,7738
1746714162.2550,34451,8035
1746714162.5050,34290,8422
1746714162.7550,35934,8029
1746714163.0050,34918,8128
1746714163.2550,35590,8128
1746714163.5070,35331,8519
1746714163.7560,34504,8128
1746714164.0040,36042,8031
1746714164.2550,36355,8231
1746714164.5040,34081,8128
1746714164.7540,36156,7835
1746714165.0030,37199,8035
1746714165.2560,32201,8324
1746714165.5060,35430,8228
1746714165.7570,35435,8231
1746714166.0070,35671,8029
1746714166.2570,35148,8130
1746714166.5070,36078,8035
1746714166.7560,35093,8130
1746714167.0070,33818,8130
1746714167.2570,34821,8329
1746714167.5060,35882,8231
1746714167.7570,35181,7840
1746714168.0070,34826,8422
1746714168.2570,29393,8132
1746714168.5060,35187,8031
1746714168.7580,34130,8128
1746714169.0080,32384,7836
1746714169.2580,35866,8129
1746714169.5080,35290,8328
1746714169.7580,35034,8032
1746714170.0090,35927,7938
1746714170.2570,36688,8423
1746714170.5090,35489,8225
1746714170.7590,34916,7934
1746714171.0090,36386,8128
1746714171.2590,34245,8425
1746714171.5090,36694,8132
1746714171.7590,34464,8029
1746714172.0080,34639,7938
1746714172.2580,35194,8423
1746714172.5090,35038,8426
1746714172.7600,37028,7938
1746714173.0100,33473,7836
1746714173.2600,36498,8618
1746714173.5100,35366,8228
1746714173.7600,36357,8230
1746714174.0100,33408,8029
1746714174.2600,35725,8426
1746714174.5100,33679,8032
1746714174.7610,35800,8329
1746714175.0110,34019,8031
1746714175.2620,35322,8911
1746714175.5110,33469,8032
1746714175.7610,35885,7934
1746714176.0110,34984,8132
1746714176.2610,34624,8324
1746714176.5110,36072,8035
1746714176.7610,35522,8128
1746714177.0110,35324,8029
1746714177.2620,36069,8132
1746714177.5110,35054,8029
1746714177.7610,35665,8230
1746714178.0120,34824,7931
1746714178.2620,36040,8225
1746714178.5120,35899,8032
1746714178.7620,37829,8029
1746714179.0120,36325,8031
1746714179.2610,36930,8422
1746714179.5130,36039,7938
1746714179.7630,35363,8225
1746714180.0130,35719,8031
1746714180.2630,36386,8036
1746714180.5130,36501,9301
1746714180.7630,37447,7937
1746714181.0130,34424,7840
1746714181.2620,37347,8225
1746714181.5120,35673,8719
1746714181.7610,34487,7840
1746714182.0140,34047,8032
1746714182.2620,36057,8029
1746714182.5140,36746,8521
1746714182.7630,33101,8230
1746714183.0140,36159,8031
1746714183.2630,36631,8129
1746714183.5150,36500,8230
1746714183.7650,35385,7838
1746714184.0150,37124,7835
1746714184.2650,37199,8328
1746714184.5150,34857,8231
1746714184.7650,35727,8029
1746714185.0150,37166,8029
1746714185.2640,37121,8035
1746714185.5150,35425,8231
1746714185.7640,37422,8128
1746714186.0150,36429,8128
1746714186.2660,35609,8328
1746714186.5150,35296,8129
1746714186.7650,36462,7933
1746714187.0160,36222,8128
1746714187.2670,35939,8422
1746714187.5150,36376,8227
1746714187.7660,34571,8035
1746714188.0160,35688,8029
1746714188.2670,36463,7937
1746714188.5170,35805,8426
1746714188.7670,35296,8035
1746714189.0170,36264,7936
1746714189.2670,35739,7933
1746714189.5170,36224,8324
1746714189.7670,36095,7938
1746714190.0180,35037,8227
1746714190.2680,35815,8031
1746714190.5180,36001,8029
1746714190.7680,35342,8617
1746714191.0180,35795,8029
1746714191.2680,35012,8029
1746714191.5180,35436,8324
1746714191.7680,34412,8328
1746714192.0180,34338,7938
1746714192.2690,34590,8129
1746714192.5190,36196,8225
1746714192.7690,36835,8324
1746714193.0180,35018,8128
1746714193.2690,35974,8029
1746714193.5180,36103,7934
1746714193.7690,35600,8521
1746714194.0190,35736,8132
1746714194.2700,35596,7839
1746714194.5200,35755,8132
1746714194.7700,35330,8426
1746714195.0200,35492,8035
1746714195.2690,36583,8035
1746714195.5200,38349,8128
1746714195.7710,35620,8422
1746714196.0190,36364,8031
1746714196.2710,35707,8325
1746714196.5210,36349,8128
1746714196.7710,35881,8031
1746714197.0190,36306,8128
1746714197.2700,36582,7836
1746714197.5190,35161,8128
1746714197.7690,35891,8029
1746714198.0200,36333,8029
1746714198.2710,36877,8029
1746714198.5210,36713,8129
1746714198.7720,35779,8029
1746714199.0210,36678,8128
1746714199.2720,35888,8032
1746714199.5220,36953,8036
1746714199.7720,36917,8032
1746714200.0220,36451,7934
1746714200.2710,36354,8132
1746714200.5220,37096,8130
1746714200.7730,36546,8036
1746714201.0220,36075,8132
1746714201.2710,35540,8036
1746714201.5210,36668,8032
1746714201.7720,34377,8029
1746714202.0230,34494,8227
1746714202.2730,36176,7934
1746714202.5230,36731,8031
1746714202.7730,36411,7837
1746714203.0230,36291,8132
1746714203.2730,36312,8132
1746714203.5240,36158,8132
1746714203.7740,37021,7742
1746714204.0240,36967,8035
1746714204.2740,37123,8035
1746714204.5240,35884,8227
1746714204.7740,36105,8225
1746714205.0240,35161,8029
1746714205.2740,36803,7835
1746714205.5250,35808,8227
1746714205.7750,36558,8032
1746714206.0250,36204,8035
1746714206.2750,36504,7937
1746714206.5250,36519,8324
1746714206.7750,35348,7933
1746714207.0250,36849,8225
1746714207.2750,35296,8032
1746714207.5240,35650,8032
1746714207.7760,35560,8029
1746714208.0260,35706,8228
1746714208.2760,36450,8132
1746714208.5260,36409,8035
1746714208.7760,36574,7937
1746714209.0260,36023,7933
1746714209.2770,36015,8029
1746714209.5270,35613,8130
1746714209.7760,36209,8036
1746714210.0240,37107,8132
1746714210.2760,36892,7836
1746714210.5260,33865,8128
1746714210.7770,36366,8130
1746714211.0270,37382,8032
1746714211.2770,37664,8029
1746714211.5280,37636,7937
1746714211.7780,37537,7938
1746714212.0280,38009,8129
1746714212.2780,37886,8128
1746714212.5280,37477,8029
1746714212.7780,37868,7933
1746714213.0280,36348,7737
1746714213.2780,35944,7934
1746714213.5270,37060,8324
1746714213.7770,35865,8029
1746714214.0290,35970,7836
1746714214.2790,35926,7937
1746714214.5290,36807,8231
1746714214.7790,37128,8031
1746714215.0280,35861,7934
1746714215.2790,35186,7934
1746714215.5290,36939,8130
1746714215.7790,37152,8130
1746714216.0270,37057,8035
1746714216.2790,36190,7835
1746714216.5280,35635,8225
1746714216.7800,35863,7934
1746714217.0300,36644,8035
1746714217.2800,37215,8230
1746714217.5300,35096,8031
1746714217.7780,35881,7933
1746714218.0300,36229,8130
1746714218.2810,37023,8035
1746714218.5310,36408,8225
1746714218.7810,35975,8032
1746714219.0310,34965,8035
1746714219.2810,37089,7938
1746714219.5310,35781,8029
1746714219.7810,35273,8130
1746714220.0320,35450,8228
1746714220.2800,36602,8035
1746714220.5320,36828,8029
1746714220.7810,35849,8029
1746714221.0320,34284,8029
1746714221.2810,36493,7938
1746714221.5310,37494,8421
1746714221.7820,36386,8128
1746714222.0320,36972,7933
1746714222.2820,36385,8032
1746714222.5320,38300,8426
1746714222.7810,36177,7835
1746714223.0320,35191,8029
1746714223.2820,36033,8035
1746714223.5320,36577,8323
1746714223.7820,36386,8225
1746714224.0330,35193,8029
1746714224.2830,37483,7938
1746714224.5340,35795,8519
1746714224.7840,36775,7931
1746714225.0320,36753,7938
1746714225.2830,36066,8128
